Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpPatternMode,InpExitMode,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpComment,InpVerbose
0,5264.81,478.61909,2.65950,2.05701,1.06421,2.3737,11,-1.0297,-2123,-2122.74,772325,16385,0,1,1.5,0,0.1,1.5,14,0,0,5,1,0,300,3,1,LARRY,1
1,5264.81,478.61909,2.65950,2.05701,1.06421,2.3737,11,-1.0297,-2123,-2122.74,772326,16385,0,1,1.5,0,0.1,1.5,14,0,0,5,1,0,300,3,1,LARRY,1
