Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpPatternMode,InpExitMode,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpComment,InpVerbose
0,8583.54,260.10727,1.74416,2.04094,2.04917,3.8683,33,-1.2285,-3247,-3247.27,772323,16385,1,1,1.5,0,0.1,1.5,14,0,0,5,1,1,300,3,1,LARRY,1
1,8583.54,260.10727,1.74416,2.04094,2.04917,3.8683,33,-1.2285,-3247,-3247.27,772324,16385,1,1,1.5,0,0.1,1.5,14,0,0,5,1,1,300,3,1,LARRY,1
