Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpPatternMode,InpExitMode,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpComment,InpVerbose
1,3587.33,224.20813,1.72368,1.92668,1.27484,1.7808,16,-1.2183,-1159,-1158.57,772322,16385,1,1,1.5,0,0.1,1.5,14,0,0,5,1,1,300,3,1,LARRY,1
0,3587.33,224.20813,1.72368,1.92668,1.27484,1.7808,16,-1.2183,-1159,-1158.57,772321,16385,1,1,1.5,0,0.1,1.5,14,0,0,5,1,1,300,3,1,LARRY,1
