Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpUseCloseConfirm,InpUsaGuardian,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTPRangeMult,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpSLBufferPts,InpMinBodyPct,InpUseEmaFilter,InpUseEma200Filter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest,InpSlippagePts
0,41057.00,345.01681,1.67419,3.51891,28.49297,9.7623,119,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,R133B VOLFILT,779660,0,0,1,0
1,9626.26,70.78132,1.12240,0.70207,7.31796,11.9592,136,1,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,R133B VOLFILT,779660,0,0,1,0
