Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpHourStart,InpHourEnd,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpComment,InpVerbose
0,5277.58,119.94500,1.27603,0.94943,1.38744,5.2689,44,-1.3733,-4298,-4297.78,772677,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,1,500,1,1,30,1,EZ TREND,1
1,5277.58,119.94500,1.27603,0.94943,1.38744,5.2689,44,-1.3733,-4298,-4297.78,772678,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,1,500,1,1,30,1,EZ TREND,1
