Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpPatternMode,InpExitMode,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpComment,InpVerbose
0,4095.42,215.54842,2.02304,1.63062,3.11329,2.4987,19,-0.9302,-1996,-1995.64,772635,16385,0,0,1.5,0,0.1,1.5,14,0,0,5,0,1,300,3,1,LARRY,1
1,4095.42,215.54842,2.02304,1.63062,3.11329,2.4987,19,-0.9302,-1996,-1995.64,772636,16385,0,0,1.5,0,0.1,1.5,14,0,0,5,0,1,300,3,1,LARRY,1
