Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpExitMode,InpTP_R,InpSLBufferATR,InpAtrPeriod,InpMinRangeATR,InpMaxBarsHold,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpComment,InpVerbose
1,-5228.27,-90.14259,0.85198,-0.58802,-1.25203,8.7766,58,-1.6723,-4940,-4940.49,772696,16388,1,1.5,0.2,14,0,100,500,1,0,300,3,1,COST,1
0,-5228.27,-90.14259,0.85198,-0.58802,-1.25203,8.7766,58,-1.6723,-4940,-4940.49,772695,16388,1,1.5,0.2,14,0,100,500,1,0,300,3,1,COST,1
