Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpTP_R,InpAllowLong,InpAllowShort,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpHourStart,InpHourEnd,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpWarmupBars,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
4,-1643.53,-24.53030,0.56615,-0.90817,-4.49442,17.9053,67,-2.4064,-788,-787.89,1.0,0,1,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
2,-340.47,-5.97316,0.88305,-0.38642,-0.84118,8.5841,57,-1.6808,-608,-607.97,1.0,1,0,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
5,-1449.85,-21.63955,0.65548,-0.81730,-3.08567,17.5516,67,-2.4490,-955,-954.85,1.5,0,1,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
6,-2086.12,-17.98379,0.65902,-0.90982,-3.13322,22.6396,116,-2.4388,-586,-586.02,1.0,1,1,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
3,-421.67,-7.52982,0.87566,-0.37999,-0.72851,10.8346,56,-1.8941,-996,-995.74,1.5,1,0,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
7,-2072.41,-18.50366,0.68856,-0.85150,-2.43391,23.9284,112,-2.3908,-1552,-1552.24,1.5,1,1,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
