Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpTP_R,InpAllowLong,InpAllowShort,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpHourStart,InpHourEnd,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpWarmupBars,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
4,-721.97,-8.59488,0.80858,-0.52177,-1.55605,13.6393,84,-1.1137,-526,-526.00,1.0,0,1,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
2,1152.30,25.60667,1.71662,2.30083,2.60503,4.5876,45,-1.8413,-276,-276.38,1.0,1,0,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
3,1105.63,28.34949,1.52830,1.24565,1.66121,7.5225,39,-1.7464,-707,-707.14,1.5,1,0,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
5,-1085.62,-13.57025,0.74565,-0.58613,-1.63789,18.2237,80,-1.5628,-984,-984.28,1.5,0,1,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
6,233.30,1.97712,1.04587,0.32597,0.26841,7.0994,118,-2.0143,-531,-531.25,1.0,1,1,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
7,100.58,1.00580,1.01898,0.12055,0.08398,7.9210,100,-1.9563,-625,-624.94,1.5,1,1,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,500,0,1,772401,EZ TREND,1
