Simbolo,Timeframe,Barre,PrimaBarra,UltimaBarra,AnniVuoti,Esito
NASUSD_EXT,PERIOD_M15,362325,2010.11.14 23:00,2026.07.31 21:00,-,OK
NASUSD_EXT,PERIOD_H1,93085,2010.11.14 23:00,2026.07.31 21:00,-,OK
SPXUSD_EXT,PERIOD_M15,360619,2010.11.14 23:00,2026.07.31 21:00,-,OK
SPXUSD_EXT,PERIOD_H1,92932,2010.11.14 23:00,2026.07.31 21:00,-,OK
