idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
199;LONG;0.46;UP;1550;1240;1640;0.60;0.80;68
200;SHORT;1.53;UP;2060;910;4010;0.36;1.57;73
201;SHORT;2.00;UP;1080;760;3210;0.48;2.03;19
202;LONG;0.98;UP;1470;1060;2550;0.54;1.29;75
203;SHORT;0.61;UP;820;280;1750;0.21;1.33;69
204;LONG;-1.00;UP;880;1400;1750;1.01;1.27;72
205;SHORT;-1.00;UP;950;1600;1790;1.10;1.23;61
206;SHORT;-1.00;UP;910;2050;740;1.45;0.52;25
207;LONG;-0.68;UP;880;1140;930;0.83;0.67;75
208;LONG;3.04;UP;680;130;1900;0.11;1.61;64
209;LONG;-1.00;UP;750;1510;0;1.21;0.00;14
210;SHORT;2.00;UP;720;450;2520;0.37;2.07;21
211;LONG;-1.00;UP;770;1310;470;1.03;0.37;10
212;LONG;-1.00;UP;1820;2850;0;1.23;0.00;11
213;SHORT;0.22;DOWN;3980;3110;2560;0.69;0.57;73
214;LONG;1.01;DOWN;2340;320;3120;0.11;1.10;75
215;LONG;-1.00;UP;1070;1840;0;1.17;0.00;3
216;LONG;2.00;DOWN;1170;1620;3410;0.97;2.04;52
217;SHORT;2.00;UP;1280;1480;3620;0.83;2.03;18
218;LONG;1.65;UP;1090;290;2560;0.18;1.61;73
219;LONG;-1.00;UP;910;1490;0;1.06;0.00;7
220;SHORT;-1.00;UP;2020;2620;850;1.04;0.34;13
221;LONG;-1.00;UP;1070;1850;350;1.18;0.22;8
222;LONG;0.32;UP;1130;1130;1840;0.69;1.13;75
223;SHORT;1.09;UP;1050;230;2190;0.15;1.41;75
224;LONG;-1.00;UP;780;1350;0;1.05;0.00;2
225;LONG;-1.00;UP;1450;2020;470;1.04;0.24;9
226;SHORT;2.00;DOWN;1560;0;4200;0.00;2.04;6
227;SHORT;-1.00;DOWN;1280;2000;330;1.12;0.19;3
228;LONG;2.00;DOWN;2170;1600;5860;0.60;2.19;6
229;LONG;-1.00;UP;950;2240;640;1.54;0.44;71
230;SHORT;-1.00;UP;880;1400;0;1.01;0.00;6
231;LONG;0.39;UP;1100;360;1640;0.22;1.03;71
232;SHORT;-1.00;UP;1200;1750;1250;1.03;0.74;32
233;SHORT;2.00;UP;1040;0;3400;0.00;2.21;13
234;LONG;0.07;UP;750;150;500;0.12;0.40;38
235;LONG;-1.00;DOWN;1500;2420;2290;1.21;1.14;22
236;SHORT;-1.00;DOWN;820;1860;480;1.41;0.36;11
237;SHORT;-1.00;UP;1140;1840;450;1.12;0.27;7
238;SHORT;2.00;UP;830;1130;3570;0.85;2.68;6
239;SHORT;-1.00;UP;1020;1540;0;1.01;0.00;4
240;SHORT;-1.00;UP;720;1230;100;1.01;0.08;3
241;LONG;-1.00;UP;1030;1530;570;1.00;0.37;16
242;LONG;2.00;UP;900;0;2830;0.00;2.02;20
243;LONG;-0.64;UP;640;1110;1040;0.97;0.91;73
244;LONG;-0.03;UP;800;1250;450;0.96;0.35;73
245;SHORT;0.15;UP;1110;520;1170;0.32;0.73;75
246;SHORT;-1.00;UP;810;2230;1370;1.70;1.05;48
247;SHORT;-1.00;UP;1700;2450;0;1.11;0.00;3
248;LONG;-1.00;UP;1030;1670;120;1.09;0.08;12
249;LONG;2.00;UP;600;0;2370;0.00;2.15;14
250;SHORT;2.00;UP;700;470;2700;0.39;2.25;36
251;SHORT;2.00;UP;1140;460;3350;0.28;2.04;28
252;LONG;-1.00;DOWN;2890;3880;1180;1.14;0.35;46
253;LONG;-1.00;DOWN;2820;4150;380;1.25;0.11;7
254;LONG;-1.00;UP;1020;1940;80;1.28;0.05;14
255;SHORT;-1.00;UP;1020;1690;0;1.11;0.00;1
256;LONG;0.96;UP;2280;420;3840;0.15;1.38;68
257;SHORT;-0.39;UP;1720;1280;1710;0.58;0.77;70
258;LONG;-1.00;UP;1440;2240;1110;1.15;0.57;47
259;SHORT;-1.00;UP;1580;2120;310;1.02;0.15;22
260;SHORT;2.00;UP;780;450;3190;0.35;2.49;13
261;LONG;1.57;UP;1020;0;2510;0.00;1.65;72
262;SHORT;0.67;UP;1290;720;3180;0.40;1.78;75
263;LONG;-1.00;UP;1770;6310;0;2.78;0.00;14
264;LONG;0.35;DOWN;1870;2170;2710;0.92;1.14;74
265;LONG;1.06;DOWN;4100;600;8360;0.13;1.82;72
266;SHORT;-1.00;UP;1400;2650;0;1.39;0.00;2
267;LONG;-1.00;UP;1330;1870;0;1.02;0.00;3
268;LONG;0.88;DOWN;3150;3520;4190;0.96;1.15;74
269;LONG;0.82;UP;1830;950;2800;0.41;1.20;75
