idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
381;SHORT;-1.00;DOWN;3110;4620;0;1.28;0.00;3
382;SHORT;2.00;UP;2280;1870;6510;0.67;2.34;25
383;LONG;-1.00;UP;2070;2950;3570;1.15;1.39;57
384;SHORT;-1.00;UP;1950;4810;170;1.96;0.07;6
385;SHORT;-1.00;UP;9050;10390;0;1.09;0.00;37
386;SHORT;-0.28;UP;2110;1410;4900;0.54;1.88;99
387;LONG;2.00;UP;1650;1680;4970;0.78;2.31;35
388;LONG;-1.00;UP;1700;2430;50;1.10;0.02;9
389;LONG;2.00;UP;2430;770;31460;0.26;10.74;63
390;SHORT;-0.01;UP;2760;2890;1460;0.89;0.45;96
391;LONG;-1.00;UP;1710;2560;3370;1.16;1.52;84
392;LONG;2.00;UP;2000;630;8180;0.25;3.27;66
393;LONG;-1.00;UP;3090;4050;900;1.13;0.25;91
394;LONG;-1.00;UP;2690;3620;1930;1.13;0.61;53
395;SHORT;2.00;UP;2170;370;5390;0.14;2.02;35
396;LONG;-1.00;DOWN;2820;4380;1190;1.32;0.36;20
397;SHORT;-1.00;DOWN;3390;3960;4660;1.02;1.20;41
398;SHORT;-1.00;DOWN;2640;3250;1200;1.04;0.38;21
399;LONG;-1.00;DOWN;2520;3460;3420;1.15;1.13;51
400;SHORT;0.12;DOWN;3000;1790;3910;0.51;1.12;94
401;LONG;2.00;DOWN;3750;0;9880;0.00;2.32;33
402;SHORT;2.00;DOWN;2630;1310;8170;0.42;2.61;33
403;LONG;1.50;DOWN;4010;0;7130;0.00;1.58;99
404;LONG;2.00;UP;4250;0;10790;0.00;2.27;13
405;LONG;-1.00;UP;3450;3950;2390;1.00;0.61;20
406;LONG;-1.00;DOWN;2320;2920;1340;1.04;0.48;62
407;LONG;-1.00;DOWN;1810;2460;0;1.06;0.00;3
408;LONG;-0.32;DOWN;3050;2860;3940;0.81;1.11;99
409;SHORT;-0.27;DOWN;3400;1800;6160;0.46;1.58;98
410;SHORT;-1.00;DOWN;2010;2560;1400;1.02;0.56;44
411;LONG;-1.00;DOWN;3190;3720;970;1.01;0.26;11
412;LONG;2.00;DOWN;2490;1660;6380;0.56;2.13;51
413;LONG;-1.00;DOWN;3930;4530;4450;1.02;1.00;85
414;LONG;2.00;DOWN;2680;1940;6810;0.61;2.14;39
415;SHORT;-1.00;UP;1700;3680;1640;1.67;0.75;11
