idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
95;LONG;-1.00;UP;1100;2490;700;1.56;0.44;9
96;SHORT;2.00;UP;1870;700;5690;0.30;2.40;6
97;LONG;-1.00;UP;3300;4600;910;1.21;0.24;3
98;LONG;-1.00;UP;2350;3640;0;1.28;0.00;1
99;LONG;-1.00;DOWN;5300;6800;3200;1.17;0.55;4
100;SHORT;2.00;DOWN;2080;1150;6700;0.45;2.60;8
101;LONG;-1.00;DOWN;2800;4000;0;1.21;0.00;1
102;SHORT;2.00;DOWN;3560;0;16470;0.00;4.06;9
103;SHORT;-1.00;DOWN;6500;18430;13900;2.63;1.99;10
104;SHORT;2.00;DOWN;5600;1950;12300;0.32;2.02;6
105;LONG;-1.00;UP;5100;6670;10430;1.19;1.86;11
106;LONG;-1.00;DOWN;5050;5950;0;1.07;0.00;1
107;SHORT;-1.00;DOWN;7000;8150;3150;1.09;0.42;6
108;LONG;-1.00;DOWN;9600;16470;900;1.63;0.09;5
109;SHORT;-1.00;DOWN;36750;41780;31870;1.12;0.86;65
110;LONG;-1.00;DOWN;23140;27600;4950;1.17;0.21;29
111;SHORT;0.90;DOWN;22500;17250;45700;0.75;1.99;72
112;SHORT;0.14;DOWN;33950;19850;36650;0.58;1.06;74
113;SHORT;-1.00;DOWN;15500;16150;6300;1.01;0.39;4
114;LONG;0.66;DOWN;22500;14710;37040;0.64;1.61;73
115;LONG;0.43;DOWN;31300;17250;27720;0.54;0.87;74
116;SHORT;0.14;DOWN;18450;9200;20200;0.49;1.07;74
117;LONG;2.00;DOWN;12400;10700;28800;0.83;2.23;61
118;LONG;2.00;DOWN;14100;1000;29550;0.07;2.02;6
119;SHORT;-1.00;DOWN;14550;16400;5700;1.09;0.38;12
120;LONG;0.40;UP;19400;11320;14570;0.57;0.73;73
121;SHORT;-0.36;UP;13650;12010;11750;0.85;0.83;74
122;SHORT;1.65;UP;18530;2690;35910;0.14;1.89;54
123;LONG;-0.34;UP;23900;18800;13500;0.77;0.55;72
124;SHORT;2.00;UP;16650;2850;34350;0.17;2.00;13
125;SHORT;-1.00;DOWN;20050;25850;150;1.26;0.01;2
126;SHORT;-1.00;DOWN;20570;25950;14450;1.23;0.69;10
127;LONG;-1.67;DOWN;26600;47290;49810;1.75;1.84;71
128;SHORT;2.00;DOWN;16150;3500;36350;0.21;2.18;5
129;LONG;-1.00;DOWN;36850;43150;0;1.16;0.00;4
130;LONG;2.00;DOWN;60350;1300;159950;0.02;2.63;3
131;LONG;-1.00;DOWN;37650;42440;7510;1.11;0.20;11
132;LONG;2.00;DOWN;65230;55850;168650;0.85;2.57;41
133;SHORT;2.00;UP;37350;24850;78500;0.66;2.07;24
134;LONG;-1.00;UP;37150;38400;19700;1.02;0.52;9
135;SHORT;-1.00;UP;28470;30350;750;1.05;0.03;13
136;LONG;-1.00;UP;26800;30500;6650;1.12;0.24;42
137;SHORT;-1.00;UP;13500;14300;12900;1.02;0.92;15
138;SHORT;-1.00;DOWN;14000;14550;0;1.00;0.00;2
139;SHORT;2.00;DOWN;22750;1900;48390;0.08;2.08;19
140;LONG;2.00;DOWN;22750;9380;48770;0.40;2.10;27
141;LONG;-1.00;UP;41850;46170;6400;1.09;0.15;18
142;LONG;2.00;UP;17800;4300;37000;0.23;2.02;25
143;SHORT;2.00;UP;11350;1000;25900;0.08;2.19;7
144;SHORT;-0.07;UP;24400;17650;30090;0.71;1.21;72
145;LONG;-1.00;UP;15700;16800;7950;1.04;0.49;8
146;SHORT;-1.00;UP;39900;41950;10200;1.04;0.25;16
147;LONG;-1.00;UP;16950;22630;17070;1.30;0.98;73
148;SHORT;-1.00;UP;11450;20650;11850;1.73;0.99;27
149;LONG;2.00;UP;11950;280;25810;0.02;2.07;25
