idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
0;SHORT;0.13;UP;10260;9710;9860;0.90;0.92;96
1;SHORT;-1.00;DOWN;5390;7490;2910;1.27;0.49;21
2;LONG;-1.00;UP;6840;7490;830;1.02;0.11;34
3;LONG;-0.01;UP;9460;8880;8090;0.89;0.81;97
4;SHORT;2.00;DOWN;11230;1310;24680;0.11;2.10;11
5;LONG;-0.11;DOWN;52880;21980;47670;0.41;0.89;89
6;SHORT;-1.00;DOWN;10250;11710;11190;1.09;1.04;18
7;LONG;-1.00;DOWN;18340;26410;420;1.40;0.02;40
8;SHORT;0.92;DOWN;26310;4170;26330;0.16;0.98;99
9;SHORT;2.00;DOWN;7620;6290;16350;0.77;2.01;17
10;LONG;0.44;DOWN;12060;5170;9350;0.41;0.74;92
11;LONG;1.47;DOWN;10120;5170;16050;0.49;1.51;95
12;SHORT;-1.00;UP;4380;5530;6870;1.13;1.41;58
13;LONG;-1.00;UP;8040;9360;0;1.10;0.00;11
14;LONG;2.07;UP;6000;0;14030;0.00;2.16;99
15;LONG;-1.00;UP;7310;8280;850;1.06;0.11;54
16;LONG;-1.00;UP;6910;8010;440;1.08;0.06;6
17;SHORT;-1.00;UP;4420;5720;1880;1.16;0.38;9
18;LONG;-1.00;UP;4890;5840;370;1.08;0.07;5
19;SHORT;2.00;UP;4700;0;10420;0.00;2.00;33
20;SHORT;-0.11;UP;11890;1470;18290;0.12;1.48;97
21;SHORT;-0.99;UP;12300;12660;0;0.99;0.00;39
22;LONG;-1.00;UP;3440;3940;1030;1.00;0.26;39
23;SHORT;2.00;UP;5120;630;11260;0.11;2.00;16
24;SHORT;-0.19;UP;6080;3790;4550;0.58;0.69;83
25;LONG;-0.10;UP;5930;5120;1740;0.80;0.27;64
26;LONG;0.25;UP;5160;2270;5820;0.40;1.03;94
27;SHORT;-0.11;UP;8880;1650;9160;0.18;0.98;95
28;LONG;0.87;UP;5680;1450;8960;0.23;1.45;96
29;LONG;-1.00;UP;7500;8090;0;1.01;0.00;21
30;SHORT;-1.00;UP;3560;4400;0;1.08;0.00;12
31;SHORT;-1.00;UP;2520;3480;0;1.15;0.00;6
32;SHORT;-1.00;UP;7150;7660;610;1.00;0.08;86
33;LONG;1.24;UP;7910;680;13270;0.08;1.58;98
34;LONG;-1.00;UP;5460;6000;2430;1.01;0.41;29
35;SHORT;-1.00;UP;7340;8120;2390;1.04;0.30;82
36;LONG;-1.00;UP;2650;3230;4130;1.03;1.31;24
37;SHORT;-0.04;UP;5160;5470;1850;0.97;0.33;99
38;LONG;-1.00;UP;3420;4000;7040;1.02;1.80;44
39;LONG;-1.00;UP;4840;6480;910;1.21;0.17;14
40;SHORT;-1.00;UP;4510;5040;2910;1.01;0.58;25
41;LONG;-0.02;UP;5290;3930;5700;0.68;0.98;96
42;LONG;-0.04;UP;10900;11110;2510;0.97;0.22;99
43;SHORT;2.00;UP;4620;0;11050;0.00;2.16;48
44;SHORT;0.63;UP;5170;2060;10360;0.36;1.83;84
45;LONG;1.26;UP;6820;4510;9840;0.62;1.34;84
46;SHORT;-1.00;UP;4750;5650;420;1.08;0.08;48
47;SHORT;-1.00;UP;5050;6000;1620;1.08;0.29;21
48;LONG;-1.00;UP;4000;4650;2690;1.03;0.60;17
49;SHORT;-0.10;UP;5090;4930;5130;0.88;0.92;99
50;LONG;-1.00;UP;3100;5360;130;1.49;0.04;5
51;SHORT;-0.76;UP;9770;8650;410;0.84;0.04;99
52;LONG;1.40;DOWN;6940;1580;13120;0.21;1.76;99
53;SHORT;0.09;UP;7770;3830;5780;0.46;0.70;99
54;LONG;-1.00;DOWN;5120;5960;2200;1.06;0.39;34
55;SHORT;-1.00;DOWN;3870;4860;3340;1.11;0.76;16
56;LONG;-0.06;DOWN;7400;2000;7670;0.25;0.97;95
57;LONG;0.52;DOWN;6290;6070;7740;0.89;1.14;98
58;SHORT;-1.00;DOWN;4490;5620;6170;1.13;1.24;58
59;SHORT;1.47;UP;9330;0;14940;0.00;1.52;90
60;SHORT;0.38;DOWN;5610;3160;4740;0.52;0.78;72
61;SHORT;-1.00;DOWN;2650;4430;0;1.41;0.00;3
62;SHORT;2.00;UP;3600;600;8490;0.15;2.07;27
63;SHORT;0.08;UP;5180;3620;4360;0.64;0.77;90
64;LONG;-1.00;UP;4700;5760;1970;1.11;0.38;43
65;SHORT;-1.00;UP;4140;6600;2130;1.42;0.46;43
66;SHORT;2.00;UP;4230;0;11740;0.00;2.48;12
67;SHORT;-1.00;DOWN;4200;4860;1200;1.03;0.26;40
68;SHORT;-0.31;UP;5630;6010;1320;0.98;0.22;96
69;LONG;2.00;UP;3020;0;8690;0.00;2.47;9
70;SHORT;1.68;UP;4640;1290;9780;0.25;1.90;99
71;LONG;-1.00;UP;2950;3650;0;1.06;0.00;2
72;SHORT;-1.00;DOWN;4230;5360;0;1.13;0.00;15
73;SHORT;2.00;UP;4710;1840;10680;0.35;2.05;73
74;LONG;-0.81;DOWN;5040;5330;5580;0.96;1.01;99
75;LONG;0.85;DOWN;3390;2470;5360;0.63;1.38;99
76;SHORT;0.39;DOWN;5070;190;4010;0.03;0.72;62
77;SHORT;-1.00;DOWN;3740;4240;3030;1.00;0.71;88
78;LONG;-1.00;DOWN;2980;3620;1120;1.04;0.32;3
79;LONG;-0.01;UP;11790;2980;15970;0.24;1.30;99
80;LONG;-0.01;UP;7250;2890;6940;0.37;0.90;84
81;SHORT;-1.00;UP;6510;7040;1990;1.00;0.28;89
82;LONG;-1.00;UP;4040;5090;1790;1.12;0.39;36
83;LONG;2.00;UP;5220;1870;11470;0.33;2.01;40
84;SHORT;-1.00;UP;5370;6540;5340;1.11;0.91;34
85;LONG;-1.00;UP;7740;8580;5990;1.04;0.73;20
