idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
211;SHORT;2.00;UP;5820;230;13220;0.04;2.09;20
212;LONG;-1.00;UP;5870;11210;7680;1.76;1.21;62
213;SHORT;2.00;UP;12960;8670;31070;0.64;2.31;54
214;SHORT;0.35;DOWN;17620;12930;12610;0.71;0.70;73
215;LONG;0.81;DOWN;10780;1270;10670;0.11;0.95;75
216;LONG;-1.00;UP;5840;7290;2690;1.15;0.42;6
217;LONG;2.00;DOWN;7870;6610;18170;0.79;2.17;52
218;SHORT;-1.00;UP;6460;7880;0;1.13;0.00;2
219;LONG;1.23;UP;8370;470;10650;0.05;1.20;73
220;LONG;-1.00;UP;5730;6290;6500;1.01;1.04;50
221;SHORT;-1.00;UP;9640;10630;8470;1.05;0.84;16
222;SHORT;2.00;UP;3880;0;9360;0.00;2.14;10
223;LONG;-0.53;UP;8200;6320;7870;0.73;0.90;75
224;SHORT;0.49;UP;7390;4860;9280;0.62;1.18;75
225;SHORT;-1.00;UP;4850;5880;3020;1.10;0.56;7
226;SHORT;1.50;UP;11020;7040;22850;0.61;1.98;75
227;SHORT;2.00;DOWN;10930;0;22860;0.00;2.00;5
228;SHORT;-1.00;DOWN;9020;10570;4060;1.11;0.43;5
229;LONG;2.00;DOWN;11700;7950;25850;0.65;2.12;4
230;LONG;-0.15;DOWN;7270;3540;9560;0.46;1.23;72
231;SHORT;-1.00;DOWN;5450;6630;2250;1.11;0.38;5
232;SHORT;-1.00;UP;5100;5620;1160;1.00;0.21;5
233;SHORT;-1.00;UP;11160;12540;5420;1.08;0.46;17
234;SHORT;2.00;UP;7950;0;16920;0.00;2.00;14
235;LONG;0.21;DOWN;4040;750;2000;0.17;0.44;39
236;LONG;0.57;DOWN;15160;15340;10890;0.98;0.70;75
237;SHORT;-1.00;DOWN;6540;8060;0;1.14;0.00;3
238;SHORT;-1.00;UP;9040;10140;4400;1.06;0.46;17
239;SHORT;2.00;UP;7950;1830;18960;0.22;2.24;5
240;LONG;-1.00;UP;7410;8990;3860;1.14;0.49;49
241;SHORT;-1.00;UP;3940;4470;8820;1.01;1.99;66
242;SHORT;0.41;UP;8150;7390;12970;0.85;1.50;75
243;LONG;0.09;UP;8570;5250;4600;0.58;0.51;71
244;LONG;0.58;UP;6050;100;9160;0.02;1.40;68
245;LONG;1.11;UP;5330;300;8610;0.05;1.48;75
246;SHORT;0.18;UP;4460;1690;4790;0.34;0.97;75
247;SHORT;2.00;UP;7430;6040;17010;0.76;2.15;54
248;SHORT;-1.00;UP;8830;10510;0;1.13;0.00;3
249;LONG;-1.00;UP;4590;5320;2860;1.05;0.56;16
250;LONG;2.00;UP;4240;470;10820;0.10;2.28;30
251;SHORT;2.00;UP;6650;3510;15900;0.49;2.22;45
252;SHORT;2.00;UP;7520;1970;17770;0.25;2.22;28
253;LONG;0.37;UP;15570;12290;11510;0.76;0.72;70
254;LONG;-1.00;DOWN;11520;12600;1800;1.05;0.15;4
255;LONG;-1.00;UP;6600;7980;5580;1.12;0.79;22
256;SHORT;-1.00;UP;8880;9910;1620;1.06;0.17;11
257;SHORT;-1.00;UP;9770;11920;1410;1.16;0.14;6
258;SHORT;-0.63;UP;13120;9430;3970;0.69;0.29;75
259;LONG;-1.00;UP;4980;6650;0;1.21;0.00;1
260;SHORT;-1.00;UP;10450;11170;0;1.02;0.00;32
261;LONG;-1.00;UP;4510;5140;0;1.03;0.00;1
262;LONG;2.00;UP;7700;1160;17500;0.14;2.13;73
263;SHORT;-0.51;UP;7530;6030;9050;0.75;1.13;75
264;LONG;-1.00;UP;8260;24990;0;2.85;0.00;14
265;LONG;0.43;DOWN;11760;10150;11190;0.83;0.91;74
266;SHORT;-1.00;DOWN;20910;26740;0;1.25;0.00;7
267;SHORT;-1.00;UP;8210;10520;900;1.21;0.10;2
268;LONG;-1.00;UP;6740;8150;0;1.13;0.00;1
269;LONG;1.23;DOWN;14500;14460;23240;0.96;1.55;74
270;LONG;0.66;UP;10940;2420;12350;0.21;1.08;75
271;SHORT;-1.00;UP;7140;8830;2680;1.16;0.35;24
272;LONG;-1.00;UP;9690;15610;920;1.53;0.09;7
273;LONG;1.75;DOWN;9250;1000;18890;0.10;1.94;75
274;LONG;-0.16;UP;10030;10000;3340;0.95;0.32;71
275;LONG;1.64;UP;6230;3880;11870;0.58;1.76;72
276;SHORT;-1.00;UP;5170;10640;3120;1.88;0.55;33
277;LONG;-1.00;UP;3690;5100;3170;1.22;0.76;12
278;LONG;-1.00;UP;18170;20980;5100;1.12;0.27;65
279;SHORT;2.00;UP;9430;8140;20710;0.82;2.09;42
280;LONG;-1.00;UP;3740;6310;8250;1.49;1.95;11
281;LONG;-1.00;DOWN;3280;5710;3580;1.51;0.95;8
282;SHORT;-1.00;DOWN;5710;8500;4710;1.37;0.76;4
283;SHORT;2.00;DOWN;2170;220;10420;0.08;3.90;4
284;LONG;-1.00;DOWN;3530;5880;3690;1.46;0.92;9
285;SHORT;-1.00;DOWN;2330;6090;940;2.15;0.33;9
286;LONG;-1.00;UP;3210;3780;3020;1.02;0.81;6
287;LONG;-1.00;UP;1760;2710;60;1.20;0.03;3
288;SHORT;2.00;DOWN;7090;810;21350;0.11;2.81;9
289;LONG;-1.00;DOWN;6890;10320;3320;1.40;0.45;8
290;SHORT;-1.00;DOWN;6880;7420;6830;1.01;0.93;9
291;SHORT;-1.00;DOWN;5820;12620;4070;2.00;0.64;1
292;SHORT;-1.00;DOWN;4790;10270;8250;1.94;1.56;9
293;LONG;-1.00;DOWN;9490;15040;6240;1.51;0.62;26
294;SHORT;-1.00;DOWN;8220;8740;3350;1.00;0.38;2
295;SHORT;-1.00;DOWN;3450;4790;3410;1.21;0.86;5
296;SHORT;2.00;UP;8160;860;24500;0.10;2.83;9
297;LONG;-1.00;UP;3790;5740;6610;1.34;1.54;12
298;SHORT;-1.00;UP;1710;2310;30;1.05;0.01;5
299;LONG;-1.00;UP;2740;5570;5430;1.72;1.68;9
300;LONG;-1.00;UP;3130;4520;970;1.25;0.27;6
301;SHORT;2.00;UP;1720;470;13520;0.21;6.09;1
302;SHORT;-1.00;UP;3780;5120;650;1.20;0.15;3
303;SHORT;-1.00;UP;8220;17190;2370;1.97;0.27;9
304;LONG;-1.00;UP;2490;3050;1110;1.02;0.37;6
305;SHORT;-1.00;UP;4430;6570;4380;1.33;0.89;11
306;SHORT;2.00;UP;4060;910;10650;0.20;2.34;10
307;LONG;-1.00;UP;4660;11790;0;2.28;0.00;2
308;LONG;-1.00;UP;1600;3940;3600;1.88;1.71;8
309;LONG;2.00;DOWN;1200;0;3400;0.00;2.00;6
310;SHORT;-1.00;DOWN;10520;12170;6310;1.10;0.57;12
311;LONG;-1.00;DOWN;2760;3580;4000;1.10;1.23;8
312;LONG;-0.07;DOWN;14540;9460;15540;0.63;1.03;75
313;LONG;2.00;DOWN;4650;1570;11830;0.30;2.30;4
314;LONG;-1.00;UP;1860;5770;4180;2.44;1.77;7
315;LONG;1.66;UP;6900;5170;12600;0.70;1.70;66
316;LONG;-1.00;UP;1740;3790;0;1.69;0.00;7
317;LONG;-1.00;UP;2720;3290;0;1.02;0.00;1
318;SHORT;2.00;UP;1700;0;6810;0.00;3.10;1
319;SHORT;-1.00;UP;4040;4630;1710;1.02;0.38;11
320;LONG;-1.00;DOWN;3400;6570;3810;1.68;0.98;10
321;SHORT;-1.00;UP;1400;2100;590;1.11;0.31;2
322;LONG;2.00;DOWN;2600;660;7970;0.21;2.57;8
323;SHORT;-1.00;DOWN;1700;5820;2630;2.65;1.20;9
324;SHORT;-1.00;UP;2720;5960;0;1.85;0.00;5
325;SHORT;2.00;UP;3190;2790;9000;0.76;2.44;6
326;LONG;-1.00;UP;6660;8110;1680;1.13;0.23;4
327;LONG;-1.00;UP;1700;2580;0;1.17;0.00;2
328;SHORT;0.40;UP;13440;11810;9770;0.85;0.70;60
329;SHORT;2.00;DOWN;5730;4680;12800;0.75;2.05;12
330;LONG;-1.00;UP;3880;5360;5560;1.22;1.27;13
331;LONG;-1.00;UP;2910;6320;5010;1.85;1.47;8
332;LONG;-1.00;DOWN;3930;5140;1390;1.16;0.31;6
333;LONG;2.00;DOWN;6960;860;16590;0.12;2.22;14
334;LONG;2.00;DOWN;3700;840;13110;0.20;3.12;4
335;LONG;-1.00;UP;3310;4930;2490;1.29;0.65;9
336;SHORT;-1.00;UP;3270;4300;1220;1.14;0.32;7
337;LONG;2.00;UP;3500;20;10150;0.00;2.54;10
338;SHORT;-1.00;UP;1350;2120;3440;1.15;1.86;9
339;LONG;-1.00;UP;2770;3390;0;1.04;0.00;3
340;SHORT;2.00;UP;4470;1890;15110;0.38;3.04;7
341;LONG;-1.00;DOWN;6330;7660;9080;1.12;1.33;21
342;LONG;2.00;DOWN;3670;0;16950;0.00;4.06;9
343;SHORT;2.00;UP;2700;710;13010;0.22;4.07;8
344;SHORT;2.00;DOWN;4210;1700;14020;0.36;2.98;9
345;SHORT;-1.00;DOWN;10460;14280;10590;1.30;0.97;9
346;SHORT;-1.00;DOWN;7420;11140;7390;1.41;0.93;8
347;SHORT;2.00;DOWN;2920;1220;13480;0.36;3.94;9
348;LONG;-1.00;UP;5350;9210;5170;1.57;0.88;11
349;LONG;-1.00;DOWN;12470;13350;9530;1.03;0.73;16
350;SHORT;2.00;UP;8650;6220;20420;0.68;2.23;13
351;SHORT;-1.00;DOWN;12350;15360;11620;1.20;0.90;3
352;SHORT;2.00;DOWN;2320;460;6630;0.16;2.35;5
353;LONG;2.00;DOWN;3180;500;14700;0.14;3.99;8
354;SHORT;-1.00;DOWN;8570;12630;7840;1.39;0.86;14
355;LONG;-1.00;DOWN;8060;11960;0;1.40;0.00;1
356;SHORT;-1.00;DOWN;13800;16810;4330;1.18;0.30;4
357;LONG;-1.00;UP;3980;7190;8660;1.60;1.93;11
358;LONG;-1.00;DOWN;3840;4500;1190;1.04;0.27;6
359;LONG;2.00;UP;2030;1710;9670;0.68;3.82;8
360;LONG;-1.00;UP;1650;2420;610;1.13;0.28;2
361;LONG;-1.00;DOWN;9030;10580;1970;1.11;0.21;2
362;SHORT;-1.00;DOWN;5540;19730;5740;3.27;0.95;8
363;SHORT;-1.00;DOWN;5820;7110;2160;1.13;0.34;7
364;SHORT;-1.00;DOWN;5970;11100;1950;1.72;0.30;1
365;SHORT;-1.00;UP;7730;10560;2640;1.28;0.32;7
366;SHORT;-1.00;UP;14010;16990;11240;1.17;0.77;22
367;SHORT;-1.00;DOWN;17010;18380;3750;1.05;0.21;11
368;SHORT;-1.00;UP;12070;13470;6250;1.07;0.50;8
369;SHORT;-1.00;UP;8130;14870;0;1.72;0.00;2
370;SHORT;2.00;UP;9140;2680;19280;0.28;2.00;73
371;LONG;-1.00;DOWN;15920;17970;2220;1.09;0.14;11
372;LONG;-1.00;DOWN;9310;10630;4450;1.08;0.45;13
373;LONG;-1.00;DOWN;10890;12470;3530;1.09;0.31;22
374;LONG;-1.00;UP;8470;9870;0;1.10;0.00;5
375;LONG;1.07;DOWN;12600;7550;24120;0.58;1.84;75
376;SHORT;2.00;DOWN;10950;0;25760;0.00;2.25;54
377;LONG;-1.00;DOWN;13400;14080;11820;1.01;0.85;25
378;SHORT;-1.00;DOWN;17580;20560;0;1.14;0.00;12
379;SHORT;0.42;DOWN;9860;9510;13660;0.92;1.32;75
380;LONG;-1.00;DOWN;9190;12460;7790;1.29;0.80;14
381;SHORT;1.83;DOWN;12410;7850;25620;0.61;1.98;74
382;SHORT;2.00;DOWN;16140;5810;33600;0.35;2.02;65
383;LONG;-1.00;DOWN;8700;9340;11570;1.02;1.26;14
384;LONG;-0.09;UP;14840;7740;14540;0.50;0.95;68
385;LONG;2.00;DOWN;13950;0;43980;0.00;3.04;9
386;LONG;-1.00;UP;12530;16800;7690;1.29;0.59;41
387;SHORT;2.00;UP;11210;2090;24030;0.18;2.05;16
388;SHORT;0.09;UP;15810;6530;16330;0.40;1.00;74
389;SHORT;-1.00;UP;8790;13470;5800;1.45;0.62;20
390;SHORT;-1.00;UP;7640;8340;2000;1.02;0.25;6
391;LONG;2.00;UP;6150;920;15620;0.14;2.35;32
392;LONG;2.00;UP;9640;4650;20670;0.46;2.04;47
393;LONG;2.00;UP;7510;1850;17520;0.23;2.19;29
394;SHORT;-1.00;UP;10640;12470;6640;1.12;0.60;15
395;LONG;1.07;UP;9000;3500;15020;0.37;1.58;74
396;SHORT;-0.18;UP;9170;7360;16190;0.76;1.67;75
397;LONG;-1.00;UP;9770;15670;5620;1.53;0.55;13
398;LONG;2.00;UP;7860;4300;16920;0.51;2.02;69
399;LONG;-1.00;UP;10150;12090;8330;1.14;0.78;40
400;SHORT;-1.00;UP;8170;9190;4460;1.06;0.51;4
401;SHORT;-1.00;UP;7310;8520;5260;1.09;0.67;45
402;LONG;-1.00;UP;16900;19860;0;1.14;0.00;10
403;LONG;1.31;UP;9180;6660;19030;0.69;1.97;74
404;SHORT;-1.00;UP;22200;23000;10570;1.01;0.47;44
405;LONG;0.19;UP;17360;4430;12140;0.25;0.68;74
406;LONG;-1.00;UP;7580;11080;5300;1.37;0.66;18
407;LONG;0.48;UP;10990;5410;9770;0.47;0.85;75
408;LONG;1.53;UP;14360;9810;24650;0.66;1.66;75
409;SHORT;-1.00;UP;5550;6400;0;1.06;0.00;1
410;LONG;2.00;UP;13280;0;28920;0.00;2.10;39
411;SHORT;-1.00;UP;15090;15760;3340;1.01;0.21;13
412;LONG;-1.00;UP;14030;17400;0;1.20;0.00;2
413;SHORT;-1.00;UP;10760;13600;8100;1.21;0.72;13
414;LONG;0.59;UP;16920;10250;15250;0.59;0.88;75
415;SHORT;-1.00;UP;13700;15430;1710;1.09;0.12;5
416;SHORT;0.40;UP;19470;14900;34420;0.75;1.72;75
417;SHORT;-1.00;DOWN;21750;22570;18340;1.01;0.82;36
418;LONG;-1.00;UP;13000;14910;740;1.10;0.05;5
419;LONG;-1.00;UP;9310;14130;6690;1.44;0.68;6
420;SHORT;-1.00;UP;16360;18970;5790;1.13;0.34;41
421;LONG;-1.00;UP;3470;5550;1510;1.40;0.38;9
422;LONG;1.10;UP;11050;5570;17650;0.48;1.53;75
423;SHORT;-0.39;UP;22600;13590;8800;0.59;0.38;75
424;SHORT;-1.00;UP;16880;24030;1920;1.38;0.11;5
425;LONG;-1.00;UP;9450;10950;7610;1.10;0.76;8
426;LONG;-1.00;UP;15070;15730;0;1.01;0.00;2
427;LONG;1.16;UP;14000;3290;16950;0.23;1.17;74
428;SHORT;0.07;UP;18300;11840;12350;0.63;0.66;75
