idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
0;SHORT;1.14;?;4900;1250;8590;0.23;1.59;90
1;SHORT;-1.00;?;7550;8110;0;1.01;0.00;58
2;LONG;-1.00;?;2900;4180;0;1.23;0.00;1
3;SHORT;2.00;?;3500;1800;8340;0.45;2.09;7
4;LONG;2.00;?;5500;1350;15510;0.23;2.59;64
5;SHORT;-0.10;?;8900;4520;8170;0.48;0.87;99
6;SHORT;-1.00;?;4350;5150;2100;1.06;0.43;5
7;SHORT;-1.00;DOWN;6430;7060;940;1.02;0.14;24
8;SHORT;-1.00;UP;3940;5260;3490;1.18;0.79;39
9;SHORT;-1.00;UP;2810;4260;800;1.29;0.24;6
10;LONG;-1.00;UP;3100;3930;4900;1.09;1.36;15
11;LONG;-1.00;UP;5050;6830;1310;1.23;0.24;11
12;SHORT;-1.00;UP;4700;5420;4170;1.04;0.80;81
13;LONG;2.00;UP;6000;1590;14150;0.24;2.18;73
14;LONG;1.03;UP;5290;640;7340;0.11;1.27;96
15;LONG;-1.00;UP;2650;3230;1860;1.03;0.59;17
16;LONG;-1.00;UP;5200;6440;2560;1.13;0.45;20
17;LONG;-1.00;DOWN;6250;7660;1550;1.13;0.23;39
18;LONG;-0.40;DOWN;6250;3270;8810;0.48;1.31;99
19;SHORT;-1.00;DOWN;3900;5850;800;1.33;0.18;20
20;LONG;-1.00;UP;5510;6800;350;1.13;0.06;9
21;LONG;-1.00;UP;4070;4780;4050;1.05;0.89;56
22;SHORT;2.00;DOWN;3600;950;9180;0.23;2.24;41
23;SHORT;-1.00;DOWN;2620;3630;5830;1.16;1.87;33
24;LONG;2.00;DOWN;3270;2670;8000;0.71;2.12;19
25;LONG;-1.00;DOWN;2280;3650;0;1.31;0.00;2
26;SHORT;-1.00;DOWN;3200;4450;5350;1.20;1.45;13
27;LONG;-1.00;DOWN;18810;20250;10750;1.05;0.56;75
28;LONG;2.00;DOWN;4090;3390;10980;0.74;2.39;12
29;LONG;-1.00;UP;2760;5650;1000;1.73;0.31;4
30;LONG;2.00;UP;4050;650;10450;0.14;2.30;10
31;SHORT;-1.00;DOWN;4570;5220;3930;1.03;0.78;24
32;LONG;2.00;DOWN;1900;1150;4800;0.48;2.00;12
33;LONG;2.00;DOWN;3250;200;8450;0.05;2.25;7
34;SHORT;-1.00;DOWN;2380;3630;2920;1.26;1.01;15
35;LONG;-1.00;UP;2550;3800;400;1.25;0.13;2
36;LONG;-1.00;DOWN;4030;4860;1490;1.07;0.33;8
37;LONG;-1.00;DOWN;4110;5250;3900;1.14;0.85;18
38;SHORT;2.00;DOWN;2360;0;6540;0.00;2.29;1
39;LONG;-1.00;UP;3580;5510;6870;1.35;1.68;23
40;SHORT;-1.00;UP;2250;4460;0;1.62;0.00;4
41;LONG;-1.00;UP;2380;3780;4870;1.31;1.69;11
42;LONG;-1.00;UP;3000;7550;1810;2.16;0.52;9
43;SHORT;-1.00;UP;4310;7200;0;1.50;0.00;4
44;SHORT;-1.00;UP;3250;3750;0;1.00;0.00;3
45;LONG;2.00;UP;2300;2550;7650;0.91;2.73;33
46;LONG;2.00;UP;3270;2660;7840;0.71;2.08;13
47;SHORT;-1.00;UP;1470;2830;350;1.44;0.18;3
48;LONG;2.00;UP;2320;1200;6000;0.43;2.13;13
49;LONG;0.63;UP;4210;3000;6630;0.64;1.41;99
50;LONG;2.00;UP;1550;0;5380;0.00;2.62;3
51;LONG;2.00;UP;3010;3280;7290;0.93;2.08;58
52;SHORT;-1.00;UP;3550;4860;1600;1.20;0.40;21
53;LONG;0.11;UP;5310;2810;3320;0.48;0.57;90
54;LONG;2.00;UP;2040;250;9800;0.10;3.86;14
55;SHORT;2.00;UP;2040;1120;5980;0.44;2.35;18
56;SHORT;-1.00;UP;2470;3300;400;1.11;0.13;2
57;LONG;2.00;DOWN;2030;1890;5510;0.75;2.18;8
58;LONG;2.00;DOWN;2850;200;7450;0.06;2.22;8
59;SHORT;2.00;DOWN;3820;420;9230;0.10;2.14;6
60;SHORT;2.00;DOWN;2150;160;6190;0.06;2.34;9
61;LONG;-1.00;DOWN;1540;3480;190;1.71;0.09;7
62;LONG;-1.00;DOWN;2710;4990;180;1.55;0.06;2
63;LONG;-1.00;DOWN;3690;6220;6680;1.48;1.59;12
64;LONG;-1.00;DOWN;2850;4900;3200;1.46;0.96;11
65;SHORT;-1.00;UP;6680;7480;1750;1.04;0.24;12
66;LONG;2.00;UP;1990;840;7410;0.34;2.98;9
67;SHORT;-1.00;UP;1950;3450;0;1.41;0.00;5
68;SHORT;2.00;UP;1200;200;3620;0.12;2.13;6
69;LONG;2.00;UP;2040;1840;6460;0.72;2.54;40
70;SHORT;2.00;DOWN;3280;3420;7730;0.90;2.04;20
71;LONG;-1.00;UP;1950;4040;950;1.65;0.39;8
72;LONG;2.00;UP;2800;2300;7050;0.70;2.14;29
73;LONG;-1.00;UP;6520;7550;2270;1.08;0.32;10
74;LONG;2.00;UP;2160;1600;5450;0.60;2.05;7
75;LONG;-1.00;UP;1550;2050;2600;1.00;1.27;7
76;LONG;2.00;UP;2570;2570;6570;0.84;2.14;80
77;LONG;2.00;UP;3680;2350;9550;0.56;2.28;14
78;LONG;2.00;UP;1630;1800;5160;0.85;2.42;35
79;SHORT;-1.00;UP;1960;2550;3500;1.04;1.42;27
80;SHORT;2.00;UP;4250;3510;10450;0.74;2.20;43
81;LONG;-1.00;UP;3150;4450;2250;1.22;0.62;11
82;SHORT;-1.00;UP;2970;3730;2170;1.07;0.63;27
