idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
0;SHORT;1.70;?;2780;1090;6730;0.33;2.05;90
1;SHORT;-1.00;?;470;990;0;1.02;0.00;1
2;SHORT;-1.00;?;1800;2710;2990;1.18;1.30;45
3;LONG;-1.00;?;1300;2100;2380;1.17;1.32;18
4;SHORT;-1.00;?;2480;3240;2720;1.09;0.91;39
5;SHORT;1.01;?;2030;1400;3300;0.55;1.30;99
6;LONG;-1.00;DOWN;2580;3090;590;1.00;0.19;64
7;SHORT;0.47;DOWN;1820;1130;3110;0.49;1.34;94
8;SHORT;-1.00;DOWN;2260;3150;870;1.14;0.32;57
9;LONG;2.00;DOWN;1200;1470;3570;0.86;2.10;77
10;SHORT;0.81;UP;3000;230;3320;0.07;0.95;93
11;SHORT;-1.00;UP;1480;2010;0;1.02;0.00;16
12;LONG;-1.00;UP;1350;2330;1890;1.26;1.02;70
13;LONG;-1.00;UP;2200;2920;1210;1.08;0.45;26
14;LONG;-1.00;DOWN;2830;3660;310;1.10;0.09;18
15;LONG;-1.00;DOWN;2110;2700;3540;1.03;1.36;90
16;SHORT;0.45;DOWN;1700;1880;1390;0.85;0.63;99
17;SHORT;2.00;DOWN;1890;1160;4990;0.49;2.09;53
18;LONG;-1.00;UP;1100;2260;260;1.41;0.16;7
19;SHORT;-1.00;DOWN;1350;1980;2670;1.07;1.44;31
20;SHORT;2.00;DOWN;1850;330;4700;0.14;2.00;81
21;LONG;2.00;DOWN;1150;1240;3540;0.75;2.15;15
22;SHORT;-1.00;DOWN;880;2910;280;2.11;0.20;3
23;SHORT;-1.00;DOWN;820;1400;120;1.06;0.09;6
24;LONG;-1.00;UP;4080;5050;3180;1.10;0.69;70
25;LONG;-1.00;DOWN;1650;2500;760;1.16;0.35;17
26;LONG;-1.00;DOWN;810;2830;300;2.16;0.23;4
27;LONG;2.00;DOWN;1220;0;3650;0.00;2.12;14
28;LONG;-1.00;DOWN;1620;2350;870;1.11;0.41;11
29;LONG;-1.00;DOWN;1010;2240;1880;1.48;1.25;51
30;LONG;2.00;DOWN;1220;660;3470;0.38;2.02;39
31;SHORT;-1.00;DOWN;940;1560;550;1.08;0.38;11
32;SHORT;-1.00;DOWN;1400;2720;580;1.43;0.31;11
