close_time;symbol;magic;position_id;deal_type;volume;price;net_profit
2025.07.01 09:10:50;D30EUR;792520;2;0;0.90;23863.60;15.93
2025.07.02 13:30:00;D30EUR;792520;4;0;0.70;23697.50;4.27
2025.07.03 10:35:00;D30EUR;792520;6;0;0.60;23774.40;30.42
2025.07.03 10:41:09;D30EUR;792520;6;0;0.80;23775.40;39.76
2025.07.04 09:45:05;D30EUR;792520;9;0;0.40;23726.60;17.08
2025.07.04 09:56:53;D30EUR;792520;9;0;0.50;23726.70;21.30
2025.07.10 11:15:31;D30EUR;792520;12;0;1.50;24581.50;-0.90
2025.07.14 15:07:38;D30EUR;792520;15;0;1.00;24081.10;-93.20
2025.07.15 12:56:17;D30EUR;792520;17;0;1.60;24175.60;7.68
2025.07.17 11:22:30;D30EUR;792520;19;0;0.80;24191.20;11.04
2025.07.18 11:25:00;D30EUR;792520;21;0;0.60;24388.70;24.78
2025.07.18 11:42:46;D30EUR;792520;21;0;0.80;24382.70;37.84
2025.07.21 10:43:28;D30EUR;792520;24;0;1.50;24272.00;1.20
2025.07.22 09:00:00;D30EUR;792520;26;0;0.60;24134.80;23.64
2025.07.22 09:05:00;D30EUR;792520;26;0;0.70;24155.30;13.23
2025.07.23 12:15:15;D30EUR;792520;29;0;0.60;24163.70;2.88
2025.07.24 10:39:11;D30EUR;792520;31;0;1.30;24438.40;1.69
2025.07.25 10:17:44;D30EUR;792520;33;0;0.90;24174.90;-91.62
2025.07.28 10:16:43;D30EUR;792520;35;0;0.20;24264.50;7.44
2025.07.28 10:25:51;D30EUR;792520;35;0;0.20;24264.50;7.44
2025.07.31 10:43:24;D30EUR;792520;38;0;0.80;24302.70;5.12
2025.08.01 08:56:30;D30EUR;792520;40;0;0.60;23690.10;7.38
2025.08.05 10:05:00;D30EUR;792520;42;0;1.50;23867.60;11.10
2025.08.08 12:15:02;D30EUR;792520;45;0;1.10;24200.60;-94.05
2025.08.12 10:24:27;D30EUR;792520;48;0;0.40;24028.00;11.36
2025.08.12 11:14:21;D30EUR;792520;48;0;0.40;23969.50;34.76
2025.08.15 12:15:02;D30EUR;792520;51;0;0.40;24397.50;13.40
2025.08.15 12:28:57;D30EUR;792520;51;0;0.40;24401.00;12.00
2025.08.19 09:50:12;D30EUR;792520;54;0;1.10;24377.60;-93.06
2025.08.21 10:10:27;D30EUR;792520;56;0;1.70;24244.60;4.08
2025.08.27 09:25:00;D30EUR;792520;58;0;0.50;24068.50;21.45
2025.08.27 09:31:57;D30EUR;792520;58;0;0.50;24083.00;14.20
2025.08.28 09:35:27;D30EUR;792520;61;0;1.20;24110.60;16.08
2025.08.29 09:20:27;D30EUR;792520;63;0;0.70;23916.50;0.21
2025.09.02 09:31:38;D30EUR;792520;65;0;0.20;23776.80;9.26
2025.09.02 09:35:55;D30EUR;792520;65;0;0.30;23795.30;8.34
2025.09.05 15:00:07;D30EUR;792520;68;0;0.30;23718.00;11.79
2025.09.05 15:30:39;D30EUR;792520;68;0;0.40;23600.50;62.72
2025.09.08 12:10:20;D30EUR;792520;71;0;1.70;23733.30;0.34
2025.09.12 09:03:50;D30EUR;792520;75;0;0.50;23661.80;25.50
2025.09.12 09:10:33;D30EUR;792520;75;0;0.60;23660.80;31.20
2025.09.15 10:56:15;D30EUR;792520;78;0;1.60;23754.60;3.04
2025.09.16 11:08:03;D30EUR;792520;80;0;0.80;23621.10;6.88
2025.09.17 10:24:00;D30EUR;792520;82;0;0.60;23355.40;20.94
2025.09.17 10:25:03;D30EUR;792520;82;0;0.80;23367.90;17.92
2025.09.19 11:00:11;D30EUR;792520;85;0;0.60;23634.60;19.38
2025.09.19 11:11:05;D30EUR;792520;85;0;0.70;23622.60;31.01
2025.09.22 10:25:58;D30EUR;792520;88;0;0.80;23463.80;11.04
2025.09.23 12:41:32;D30EUR;792520;90;0;1.20;23594.00;1.80
2025.09.25 10:45:05;D30EUR;792520;92;0;0.30;23508.90;8.70
2025.09.25 11:00:19;D30EUR;792520;92;0;0.40;23476.00;24.76
2025.09.26 12:50:47;D30EUR;792520;95;0;1.20;23666.60;-98.28
2025.09.29 09:01:52;D30EUR;792520;97;0;0.80;23756.10;-0.88
2025.09.30 09:48:04;D30EUR;792520;99;0;2.00;23741.20;-101.80
2025.10.03 10:25:03;D30EUR;792520;101;0;1.20;24450.00;-0.12
2025.10.06 09:04:45;D30EUR;792520;103;0;1.30;24332.00;9.49
2025.10.07 09:10:46;D30EUR;792520;105;0;0.70;24320.00;28.28
2025.10.07 09:15:33;D30EUR;792520;105;0;0.80;24340.00;16.32
2025.10.09 09:10:22;D30EUR;792520;108;0;1.20;24628.80;2.88
2025.10.13 11:59:30;D30EUR;792520;111;0;0.90;24351.20;2.25
2025.10.14 11:35:01;D30EUR;792520;113;0;0.40;24078.70;13.24
2025.10.14 11:59:33;D30EUR;792520;113;0;0.40;24030.20;32.64
2025.10.15 11:10:59;D30EUR;792520;116;0;1.40;24309.90;-100.94
2025.10.16 11:08:14;D30EUR;792520;118;0;0.50;24227.60;-87.80
2025.10.22 09:56:06;D30EUR;792520;121;0;0.90;24253.50;2.16
2025.10.23 09:56:14;D30EUR;792520;123;0;0.30;24045.50;11.82
2025.10.23 09:57:35;D30EUR;792520;123;0;0.40;24064.00;8.36
2025.10.24 10:07:41;D30EUR;792520;126;0;0.50;24184.00;17.75
2025.10.24 10:18:49;D30EUR;792520;126;0;0.60;24191.00;17.10
2025.10.27 09:10:00;D30EUR;792520;129;0;0.90;24289.30;34.11
2025.10.27 09:20:03;D30EUR;792520;129;0;0.90;24288.30;35.01
2025.10.28 09:02:56;D30EUR;792520;132;0;1.30;24230.50;46.54
2025.10.28 09:20:35;D30EUR;792520;132;0;1.50;24213.00;79.95
2025.10.29 14:57:15;D30EUR;792520;135;0;2.30;24217.70;32.89
2025.10.30 10:25:04;D30EUR;792520;137;0;0.60;24095.80;24.84
2025.10.30 10:30:31;D30EUR;792520;137;0;0.70;24105.80;21.98
2025.10.31 09:20:27;D30EUR;792520;140;0;0.90;24048.00;23.67
2025.10.31 09:32:33;D30EUR;792520;140;0;1.00;24052.00;22.30
2025.11.03 09:01:32;D30EUR;792520;143;0;3.80;23990.60;12.54
2025.11.04 09:40:59;D30EUR;792520;145;0;0.90;23796.30;4.77
2025.11.05 09:25:16;D30EUR;792520;147;0;1.50;23785.50;1.95
2025.11.07 09:40:07;D30EUR;792520;150;0;2.20;23741.20;36.96
2025.11.10 09:46:31;D30EUR;792520;152;0;1.40;23944.20;-103.88
2025.11.11 09:30:25;D30EUR;792520;154;0;2.30;23994.80;58.42
2025.11.14 09:10:00;D30EUR;792520;157;0;0.40;23932.00;22.56
2025.11.14 09:20:00;D30EUR;792520;157;0;0.40;23925.00;25.36
2025.11.17 10:40:33;D30EUR;792520;160;0;1.20;23839.30;1.08
2025.11.18 16:20:14;D30EUR;792520;162;0;0.80;23121.60;17.44
2025.11.19 09:20:22;D30EUR;792520;164;0;1.80;23136.20;-0.36
2025.11.20 10:38:05;D30EUR;792520;166;0;0.60;23342.00;28.08
2025.11.20 10:42:43;D30EUR;792520;166;0;0.80;23363.60;20.16
2025.11.21 09:23:30;D30EUR;792520;169;0;2.00;23036.60;-103.40
2025.11.24 09:13:45;D30EUR;792520;171;0;1.30;23320.10;-102.31
2025.11.25 09:16:56;D30EUR;792520;173;0;2.70;23248.50;-100.44
2025.11.26 09:10:00;D30EUR;792520;175;0;0.80;23559.20;29.84
2025.11.26 09:15:43;D30EUR;792520;175;0;0.90;23561.70;31.32
2025.11.27 09:00:02;D30EUR;792520;178;0;4.10;23730.00;-98.81
2025.11.28 09:07:01;D30EUR;792520;180;0;1.10;23722.20;47.08
2025.11.28 09:10:04;D30EUR;792520;180;0;1.30;23755.70;12.09
2025.12.01 09:38:11;D30EUR;792520;183;0;1.80;23679.70;5.04
2025.12.02 09:11:13;D30EUR;792520;185;0;2.70;23653.20;-100.44
2025.12.03 12:05:30;D30EUR;792520;187;0;2.70;23748.60;14.58
2025.12.04 10:25:00;D30EUR;792520;189;0;2.60;23821.40;-0.26
2025.12.08 09:17:10;D30EUR;792520;191;0;3.30;24039.20;-100.98
2025.12.10 09:07:17;D30EUR;792520;193;0;2.20;24156.70;-99.44
2025.12.11 09:51:24;D30EUR;792520;195;0;1.30;24109.00;-95.81
2025.12.12 09:06:32;D30EUR;792520;197;0;4.50;24390.60;5.85
2025.12.15 09:15:30;D30EUR;792520;199;0;1.20;24256.50;35.16
2025.12.15 09:20:08;D30EUR;792520;199;0;1.30;24274.50;14.69
2025.12.16 08:47:30;D30EUR;792520;202;0;3.20;24115.10;-93.76
2025.12.17 11:25:05;D30EUR;792520;204;0;1.70;24119.10;1.70
2025.12.22 14:19:44;D30EUR;792520;206;0;1.00;24261.40;20.00
2025.12.22 14:25:45;D30EUR;792520;206;0;1.00;24263.40;18.00
2025.12.23 09:09:33;D30EUR;792520;209;0;3.60;24318.40;-97.56
2025.12.30 09:00:21;D30EUR;792520;212;0;2.10;24338.10;-0.63
2026.01.02 09:28:44;D30EUR;792520;214;0;0.90;24584.70;-91.71
2026.01.05 08:58:12;D30EUR;792520;216;0;2.90;24662.60;-95.70
2026.01.06 09:08:51;D30EUR;792520;218;0;2.40;24903.20;9.12
2026.01.08 16:07:26;D30EUR;792520;220;0;1.30;25119.80;-96.07
2026.01.09 09:15:15;D30EUR;792520;222;0;2.40;25135.10;12.96
2026.01.12 09:14:21;D30EUR;792520;224;0;2.20;25271.40;-92.40
2026.01.13 09:10:32;D30EUR;792520;226;0;1.00;25405.90;25.70
2026.01.13 09:17:03;D30EUR;792520;226;0;1.00;25415.40;16.20
2026.01.14 11:20:03;D30EUR;792520;229;0;1.30;25370.10;29.12
2026.01.14 11:40:04;D30EUR;792520;229;0;1.50;25333.70;88.20
2026.01.15 08:53:18;D30EUR;792520;232;0;2.10;25324.60;3.78
2026.01.16 11:07:53;D30EUR;792520;234;0;3.30;25317.00;-94.05
2026.01.19 09:14:29;D30EUR;792520;236;0;1.40;25000.20;-89.18
2026.01.20 09:07:38;D30EUR;792520;238;0;0.60;24723.90;41.58
2026.01.20 09:10:16;D30EUR;792520;238;0;0.70;24757.40;25.06
2026.01.21 10:15:34;D30EUR;792520;241;0;1.30;24637.20;3.90
2026.01.22 16:23:10;D30EUR;792520;243;0;1.40;24838.10;-91.98
2026.01.23 09:31:51;D30EUR;792520;245;0;3.00;24858.50;-92.10
2026.01.26 10:45:00;D30EUR;792520;247;0;1.10;24806.60;40.15
2026.01.26 10:56:21;D30EUR;792520;247;0;1.30;24808.20;45.37
2026.01.27 09:25:06;D30EUR;792520;250;0;1.10;24956.00;32.89
2026.01.27 09:30:12;D30EUR;792520;250;0;1.30;24967.50;23.92
2026.01.28 09:50:01;D30EUR;792520;253;0;0.60;24820.30;35.16
2026.01.28 10:01:30;D30EUR;792520;253;0;0.70;24811.30;47.32
2026.01.30 08:59:46;D30EUR;792520;257;0;0.70;24325.50;42.56
2026.01.30 09:02:17;D30EUR;792520;257;0;0.80;24371.00;12.24
2026.02.03 11:35:28;D30EUR;792520;260;0;1.40;24903.40;11.06
2026.02.04 09:14:37;D30EUR;792520;262;0;1.70;24867.20;-90.44
2026.02.05 09:36:22;D30EUR;792520;264;0;0.60;24563.10;28.98
2026.02.05 10:12:11;D30EUR;792520;264;0;0.80;24498.60;90.24
2026.02.06 09:22:55;D30EUR;792520;267;0;1.20;24520.00;-93.24
2026.02.09 11:17:40;D30EUR;792520;269;0;0.90;24765.80;30.96
2026.02.09 11:26:29;D30EUR;792520;269;0;0.90;24763.80;32.76
2026.02.10 09:16:44;D30EUR;792520;272;0;1.50;24977.80;1.20
2026.02.11 09:10:00;D30EUR;792520;274;0;0.80;24961.80;22.16
2026.02.11 09:30:11;D30EUR;792520;274;0;0.90;24901.30;79.38
2026.02.13 08:59:55;D30EUR;792520;278;0;1.90;24843.30;8.17
2026.02.16 10:07:53;D30EUR;792520;280;0;2.50;24983.40;-94.25
2026.02.19 09:10:09;D30EUR;792520;282;0;3.00;25219.40;-96.60
2026.02.20 09:01:13;D30EUR;792520;284;0;3.30;25073.00;4.29
2026.02.23 09:08:21;D30EUR;792520;286;0;1.30;25080.60;43.29
2026.02.23 09:16:10;D30EUR;792520;286;0;1.50;25099.10;22.20
2026.02.25 09:20:09;D30EUR;792520;290;0;2.40;25060.40;-95.28
2026.02.26 09:10:38;D30EUR;792520;292;0;1.20;25105.30;34.56
2026.02.26 09:11:30;D30EUR;792520;292;0;1.30;25128.30;7.54
2026.02.27 09:30:20;D30EUR;792520;295;0;2.30;25311.10;-94.76
2026.03.02 09:45:58;D30EUR;792520;297;0;0.70;24799.40;-85.54
2026.03.03 08:45:14;D30EUR;792520;299;0;0.80;24278.00;0.24
2026.03.05 09:10:00;D30EUR;792520;301;0;0.50;24051.00;28.40
2026.03.05 09:11:37;D30EUR;792520;301;0;0.50;24079.50;14.15
2026.03.06 10:26:15;D30EUR;792520;304;0;0.60;23825.70;48.18
2026.03.06 10:45:01;D30EUR;792520;304;0;0.70;23786.20;83.86
2026.03.11 08:45:01;D30EUR;792520;307;0;0.50;23749.30;27.90
2026.03.11 08:46:57;D30EUR;792520;307;0;0.60;23757.30;28.68
2026.03.12 16:27:46;D30EUR;792520;310;0;1.10;23469.10;-92.62
2026.03.13 09:11:10;D30EUR;792520;312;0;0.30;23337.50;15.24
2026.03.13 09:20:07;D30EUR;792520;312;0;0.40;23336.00;20.92
2026.03.16 09:20:07;D30EUR;792520;315;0;0.80;23449.20;10.64
2026.03.18 08:50:03;D30EUR;792520;317;0;0.70;23839.20;21.21
2026.03.18 08:55:28;D30EUR;792520;317;0;0.80;23852.20;13.84
2026.03.19 09:51:44;D30EUR;792520;320;0;0.20;22940.50;16.66
2026.03.19 09:53:40;D30EUR;792520;320;0;0.40;22980.50;17.32
2026.03.20 11:00:06;D30EUR;792520;323;0;0.60;22878.30;14.88
2026.03.23 09:00:02;D30EUR;792520;325;0;0.80;21905.90;1.44
2026.03.24 09:35:43;D30EUR;792520;327;0;0.60;22563.10;1.08
2026.03.26 09:51:11;D30EUR;792520;329;0;0.90;22656.80;20.52
2026.03.27 09:03:10;D30EUR;792520;331;0;0.80;22575.60;46.24
2026.03.27 09:20:48;D30EUR;792520;331;0;0.90;22463.10;153.27
2026.04.02 11:15:09;D30EUR;792520;335;0;0.50;22848.00;20.30
2026.04.02 11:35:09;D30EUR;792520;335;0;0.50;22813.50;37.55
2026.04.07 09:02:00;D30EUR;792520;338;0;0.90;23208.70;-98.55
2026.04.08 09:11:34;D30EUR;792520;340;0;0.50;23959.60;10.00
2026.04.09 08:55:14;D30EUR;792520;342;0;0.60;23842.50;4.14
2026.04.10 10:19:11;D30EUR;792520;344;0;1.50;23862.80;-95.25
2026.04.13 13:02:13;D30EUR;792520;346;0;1.30;23499.60;15.47
2026.04.15 09:15:00;D30EUR;792520;348;0;1.70;24035.20;6.12
2026.04.16 11:02:31;D30EUR;792520;350;0;0.90;24159.40;-93.33
2026.04.20 09:18:24;D30EUR;792520;352;0;0.40;24286.90;20.28
2026.04.20 09:23:26;D30EUR;792520;352;0;0.40;24304.90;13.08
2026.04.21 13:48:30;D30EUR;792520;355;0;0.50;24461.10;16.00
2026.04.21 13:56:02;D30EUR;792520;355;0;0.70;24468.20;17.43
2026.04.22 09:05:23;D30EUR;792520;358;0;1.20;24313.50;6.84
2026.04.23 13:01:45;D30EUR;792520;360;0;0.70;24145.80;-86.03
2026.04.24 09:40:04;D30EUR;792520;362;0;0.80;24083.40;22.72
2026.04.27 09:37:28;D30EUR;792520;364;0;1.10;24240.80;-92.29
2026.04.28 12:57:07;D30EUR;792520;366;0;0.90;23975.70;13.50
2026.04.29 08:51:44;D30EUR;792520;368;0;0.60;23992.50;24.72
2026.04.29 09:00:01;D30EUR;792520;368;0;0.80;24014.70;15.20
2026.05.04 11:06:11;D30EUR;792520;371;0;0.30;24137.20;36.81
2026.05.04 11:18:43;D30EUR;792520;371;0;0.40;24126.70;53.28
2026.05.07 10:00:06;D30EUR;792520;374;0;0.50;24887.30;17.55
2026.05.07 10:08:10;D30EUR;792520;374;0;0.50;24895.00;13.70
2026.05.08 15:15:39;D30EUR;792520;377;0;1.10;24408.10;1.32
2026.05.11 09:32:11;D30EUR;792520;379;0;1.20;24354.10;-95.28
2026.05.12 15:55:13;D30EUR;792520;381;0;0.20;23979.10;7.38
2026.05.12 16:12:48;D30EUR;792520;381;0;0.30;23968.30;14.31
2026.05.13 13:40:00;D30EUR;792520;384;0;0.40;24028.80;25.84
2026.05.13 13:45:11;D30EUR;792520;384;0;0.40;24030.50;25.16
2026.05.15 09:10:00;D30EUR;792520;387;0;0.40;24137.60;21.08
2026.05.15 09:36:40;D30EUR;792520;387;0;0.40;24034.90;62.16
2026.05.20 09:15:16;D30EUR;792520;390;0;1.00;24311.80;7.80
2026.05.21 13:30:00;D30EUR;792520;392;0;0.30;24542.30;16.44
2026.05.21 13:33:06;D30EUR;792520;392;0;0.40;24557.90;15.68
2026.05.22 08:40:56;D30EUR;792520;395;0;0.70;24738.30;-0.35
2026.05.26 09:22:53;D30EUR;792520;397;0;0.70;25242.60;3.01
2026.05.27 13:00:35;D30EUR;792520;399;0;0.50;25253.80;16.55
2026.05.27 13:06:57;D30EUR;792520;399;0;0.60;25262.50;14.64
2026.05.28 12:03:54;D30EUR;792520;402;0;1.10;25063.30;8.91
2026.05.29 14:40:02;D30EUR;792520;404;0;0.80;25061.30;7.04
2026.06.01 14:30:51;D30EUR;792520;406;0;0.50;24985.50;38.75
2026.06.01 14:35:54;D30EUR;792520;406;0;0.50;25015.40;23.80
2026.06.02 13:56:16;D30EUR;792520;409;0;0.50;25137.60;16.75
