Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTP1_ClosePct,InpUsaGuardian,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpBreakevenAtTP1,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpMagic,InpMaxSpread,InpVerbose
0,-372.20,-2.84122,0.96409,-0.13374,-3.54880,24.2754,131,0,0,14,30,15,20,45,1,1,0,1,16385,5,700,120,1,1,1700,4000,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,2,0,1.5,14,1,1,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,770203,0,1
2,-447.69,-2.55823,0.95624,-0.17198,-4.54656,22.4729,175,50,0,14,30,15,20,45,1,1,0,1,16385,5,700,120,1,1,1700,4000,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,2,0,1.5,14,1,1,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,770203,0,1
1,-308.32,-1.76183,0.97001,-0.11293,-3.03083,23.4308,175,25,0,14,30,15,20,45,1,1,0,1,16385,5,700,120,1,1,1700,4000,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,2,0,1.5,14,1,1,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,770203,0,1
3,-565.55,-3.23171,0.94458,-0.22760,-5.00000,21.5153,175,75,0,14,30,15,20,45,1,1,0,1,16385,5,700,120,1,1,1700,4000,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,2,0,1.5,14,1,1,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,770203,0,1
