Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpSlippagePts,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpSLbufferPips,InpSLfromDoji,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpTP2_ATRmult,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose
2,711.62,25.41500,1.17694,0.21502,2.59678,3.2359,28,-1.0163,-2999,-2999.46,772801,50,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
3,711.62,25.41500,1.17694,0.21502,2.59678,3.2359,28,-1.0163,-2999,-2999.46,772802,50,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
0,716.28,25.58143,1.17831,0.21643,2.61387,3.2357,28,-1.0162,-2999,-2999.46,772801,0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
1,716.28,25.58143,1.17831,0.21643,2.61387,3.2357,28,-1.0162,-2999,-2999.46,772802,0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
7,691.89,24.71036,1.17120,0.20870,2.52438,3.2420,28,-1.0185,-3005,-3005.23,772802,150,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
6,691.89,24.71036,1.17120,0.20870,2.52438,3.2420,28,-1.0185,-3005,-3005.23,772801,150,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
4,701.19,25.04250,1.17390,0.21150,2.55853,3.2417,28,-1.0163,-3005,-3005.23,772801,100,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
5,701.19,25.04250,1.17390,0.21150,2.55853,3.2417,28,-1.0163,-3005,-3005.23,772802,100,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
9,677.20,24.18571,1.16695,0.20336,2.47042,3.2563,28,-1.0185,-3020,-3019.92,772802,200,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
8,677.20,24.18571,1.16695,0.20336,2.47042,3.2563,28,-1.0185,-3020,-3019.92,772801,200,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
