Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpSlippagePts,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTPRangeMult,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpUseEma200Filter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMaxSpread,InpVerbose
0,9509.39,133.93507,1.24979,1.14859,12.22241,7.8885,71,772811,0,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
6,7184.19,101.18577,1.18524,0.80439,9.14026,8.5746,71,772811,150,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
7,7184.19,101.18577,1.18524,0.80439,9.14026,8.5746,71,772812,150,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
2,8354.30,117.66620,1.21696,0.97784,10.80911,8.1688,71,772811,50,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
1,9509.39,133.93507,1.24979,1.14859,12.22241,7.8885,71,772812,0,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
3,8354.30,117.66620,1.21696,0.97784,10.80911,8.1688,71,772812,50,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
4,7452.35,104.96268,1.19222,0.86233,9.63843,8.2940,71,772811,100,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
5,7452.35,104.96268,1.19222,0.86233,9.63843,8.2940,71,772812,100,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
8,6483.70,91.31972,1.16621,0.72460,8.27340,8.6109,71,772811,200,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
9,6483.70,91.31972,1.16621,0.72460,8.27340,8.6109,71,772812,200,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,0,1
