Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingAtr,InpPendingExpiryBars,InpSLLookback,InpSLBufferAtr,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
5,-581.91,-9.38565,0.68130,-0.48457,-2.34017,11.5105,62,16387,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
3,2630.71,14.37546,1.64168,2.92321,4.67879,8.4019,183,16385,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
2,3169.89,7.76934,1.35045,1.60503,3.02969,19.0960,408,30,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
7,746.98,21.34229,2.38792,1.44601,2.45650,4.6593,35,16390,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
4,13.94,0.19096,1.01142,0.01719,0.06393,7.8558,73,16386,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
0,7967.96,9.72889,1.30256,3.30663,3.81187,13.7402,819,15,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
6,2144.68,43.76898,2.95725,3.78184,5.84135,4.4612,49,16388,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
1,2319.20,4.01246,1.13975,0.83308,1.93510,20.3030,578,20,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
8,470.12,36.16308,11.42626,1.27338,1.80496,3.5734,13,16392,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
9,-427.25,-53.40625,0.02736,-0.98007,-1.67612,4.3556,8,16396,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
10,124.77,13.86333,1.24847,0.17930,0.15111,6.9006,9,16408,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
