Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpTrailFixedPts,InpUsaGuardian,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpRunnerTP_R,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpMinBreakoutRangeATR,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpUseVolRegime,InpVolAtrPeriod,InpVolLookback,InpVolLowPct,InpVolHighPct,InpVolLowOffMult,InpVolHighOffMult,InpVolLowSlMult,InpVolHighSlMult,InpVolHighSizeMult,InpUseSRFilter,InpSRProximityPts,InpSRUsePrevDay,InpSRUseRoundNumbers,InpSRRoundInterval,InpMagic,InpMaxSpread,InpVerbose
0,-4377.67,-53.38622,0.65823,-0.67670,-5.00000,8.0354,82,-2.0220,-3107,-3107.31,410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
1,286.39,3.49256,1.00878,0.03077,0.34357,11.3401,82,-2.0394,-2141,-3365.80,2410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
2,3021.18,36.84366,1.07156,0.22641,2.33740,15.9822,82,-2.0712,-7738,-7738.32,4410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
3,6675.39,81.40720,1.14559,0.42794,4.29659,18.3905,82,-2.0693,-9297,-9297.13,6410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
4,1467.21,17.89280,1.02987,0.09327,0.87178,18.6277,82,-2.0699,-9141,-9140.78,8410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
5,4896.26,59.71049,1.09440,0.28836,2.59487,20.0542,82,-2.0702,-9002,-9002.09,10410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
6,2101.80,25.63171,1.03942,0.12383,1.12269,20.0732,82,-2.0800,-8995,-8995.34,12410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
7,1580.73,19.27720,1.02974,0.09328,0.84578,20.0669,82,-2.0778,-8982,-8982.41,14410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
8,1250.43,15.24915,1.02355,0.07378,0.66700,20.0580,82,-2.0705,-8982,-8982.41,16410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
9,2488.28,30.34488,1.04670,0.14682,1.28687,20.0580,82,-2.0712,-8982,-8982.41,18410,1,14,30,35,17,30,1,1,0,2,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,2,0,1.5,14,0.5,0,0,0,1,0,2,1,2,0,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1,1.5,20,0,20,1,1,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770260,0,1
