Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTP_R,InpTPMode,InpSLBufferPts,InpUsaGuardian,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTPRangeMult,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpUseEma200Filter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
0,1215.02,17.11296,1.06124,0.26785,3.02141,4.4336,71,0,1.5,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
36,-1200.57,-16.90944,0.93427,-0.18968,-2.81218,6.1993,71,0,2.0,0,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
6,-3477.58,-48.98000,0.92829,-0.30571,-5.00000,10.9753,71,2,2.0,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
12,-738.45,-10.40070,0.96232,-0.15349,-2.05877,4.7658,71,0,2.0,1,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
24,-1126.28,-15.86310,0.93911,-0.22179,-3.39562,5.0317,71,0,1.5,1,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
42,30177.08,425.02930,1.48285,1.44974,25.54609,16.7366,71,2,1.5,1,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
18,-5690.06,-80.14169,0.87239,-0.51649,-5.00000,10.7651,71,2,1.5,0,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
30,30177.08,425.02930,1.48285,1.44974,25.54609,16.7366,71,2,2.0,1,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
1,-1759.20,-24.77746,0.95492,-0.15369,-3.74595,10.7610,71,1,1.5,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
7,9719.23,136.89056,1.26939,1.78270,15.46896,5.0998,71,3,2.0,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
37,-5167.64,-72.78366,0.87000,-0.38240,-5.00000,13.0188,71,1,2.0,0,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
13,-6939.22,-97.73549,0.82292,-0.46325,-5.00000,14.5412,71,1,2.0,1,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
43,1095.82,15.43408,1.03507,0.15202,1.90721,7.0616,71,3,1.5,1,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
25,-6939.22,-97.73549,0.82292,-0.46325,-5.00000,14.5412,71,1,1.5,1,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
19,5206.90,73.33662,1.15515,0.85144,10.24709,5.7519,71,3,1.5,0,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
31,3193.77,44.98268,1.09174,0.39696,4.85232,7.8098,71,3,2.0,1,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
2,-5690.06,-80.14169,0.87239,-0.51649,-5.00000,10.7651,71,2,1.5,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
38,-3477.58,-48.98000,0.92829,-0.30571,-5.00000,10.9753,71,2,2.0,0,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
14,30177.08,425.02930,1.48285,1.44974,25.54609,16.7366,71,2,2.0,1,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
8,-738.45,-10.40070,0.96232,-0.15349,-2.05877,4.7658,71,0,1.5,1,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
26,30177.08,425.02930,1.48285,1.44974,25.54609,16.7366,71,2,1.5,1,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
20,1685.23,23.73563,1.08728,0.38701,3.79167,4.2644,71,0,2.0,0,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
44,-1025.35,-14.44155,0.94028,-0.21146,-3.19241,4.8059,71,0,2.0,1,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
32,98.32,1.38479,1.00555,0.02127,0.25833,4.5695,71,0,1.5,0,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
3,4918.60,69.27606,1.14122,0.61852,9.87440,7.4033,71,3,1.5,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
39,3806.39,53.61113,1.12051,0.53750,6.66086,6.8935,71,3,2.0,0,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
15,9509.39,133.93507,1.24979,1.14859,12.22241,7.8885,71,3,2.0,1,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
9,-6939.22,-97.73549,0.82292,-0.46325,-5.00000,14.5412,71,1,1.5,1,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
27,3193.77,44.98268,1.09174,0.39696,4.85232,7.8098,71,3,1.5,1,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
21,-5167.64,-72.78366,0.87000,-0.38240,-5.00000,13.0188,71,1,2.0,0,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
45,-6939.22,-97.73549,0.82292,-0.46325,-5.00000,14.5412,71,1,2.0,1,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
33,-1759.20,-24.77746,0.95492,-0.15369,-3.74595,10.7610,71,1,1.5,0,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
