Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTP_R,InpTPMode,InpSLBufferPts,InpUsaGuardian,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTPRangeMult,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpUseEma200Filter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
18,-15757.58,-132.41664,0.77651,-0.62017,-5.00000,24.7643,119,2,1.5,0,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
6,-3215.64,-27.02218,0.95703,-0.15123,-5.00000,20.5418,119,2,2.0,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
12,18921.52,159.00437,1.68012,4.05303,27.89523,4.2956,119,0,2.0,1,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
24,17377.96,146.03328,1.66106,4.04552,27.45917,3.9639,119,0,1.5,1,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
36,22483.75,188.93908,1.84372,3.86505,27.94057,5.2995,119,0,2.0,0,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
0,21942.40,184.38992,1.76162,4.81220,29.50934,4.2025,119,0,1.5,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
30,73377.30,616.61597,1.78015,2.57269,35.56082,17.9010,119,2,2.0,1,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
42,73377.30,616.61597,1.78015,2.57269,35.56082,17.9010,119,2,1.5,1,1000,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
7,31181.84,262.03227,1.56595,2.49624,27.79002,11.0519,119,3,2.0,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
19,12652.44,106.32303,1.24682,0.93305,14.35985,12.0187,119,3,1.5,0,500,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,0,0
