Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpUseRsiPunte,InpRequireDivergence,InpCicloTF,InpStAtrPeriod,InpStMult,InpWprPeriod,InpWprOB,InpWprOS,InpWprMid,InpWprGraceBars,InpRsiPeriod,InpRsiLookback,InpRsiFlatTol,InpMaxCicloAgeBars,InpRitestBars,InpFaseTimeoutBars,InpUseDirFilter,InpAtrPeriod,InpTargetATRmult,InpSLBufferPoints,InpMinRR,InpMinStopAtrOp,InpMaxStopAtrOp,InpMa9Bars,InpRiskPercent,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
2,-1171.61,-10.84824,0.70366,-0.77271,-5.00000,14.7076,108,-2.7289,-363,-509.41,0,1,16388,10,3,140,-20,-80,-50,10,4,6,3,2,2,40,1,14,2,10,3,0.8,4,2,1,0,0,abtg_news.csv,3,60,30,0,,ALTAV,771402,0,1
0,-1171.61,-10.84824,0.70366,-0.77271,-5.00000,14.7076,108,-2.7289,-363,-509.41,0,0,16388,10,3,140,-20,-80,-50,10,4,6,3,2,2,40,1,14,2,10,3,0.8,4,2,1,0,0,abtg_news.csv,3,60,30,0,,ALTAV,771402,0,1
1,-303.39,-13.79045,0.63668,-0.47615,-5.00000,6.2398,22,-2.3124,-201,-210.39,1,0,16388,10,3,140,-20,-80,-50,10,4,6,3,2,2,40,1,14,2,10,3,0.8,4,2,1,0,0,abtg_news.csv,3,60,30,0,,ALTAV,771402,0,1
3,-261.06,-37.29429,0.23468,-0.54802,-3.52489,4.6633,7,-1.6706,-202,-201.81,1,1,16388,10,3,140,-20,-80,-50,10,4,6,3,2,2,40,1,14,2,10,3,0.8,4,2,1,0,0,abtg_news.csv,3,60,30,0,,ALTAV,771402,0,1
