Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpPatternMode,InpTF,InpBBPeriod,InpBBDev,InpStdPeriod,InpStdSmaPeriod,InpAtrPeriod,InpBulgeWidthMult,InpBulgeRefBars,InpBulgeMinBars,InpBulgeMaxBars,InpBulgeMinImpBars,InpBulgeCandleMaxATR,InpBulgeNetMoveATR,InpBulgeMedianDistPct,InpImpulseATR,InpRientroMaxATR,InpZigZagATR,InpDeepSpikeATR,InpBandRidingMaxBars,InpPostBulgeMaxBars,InpReinflateTolPct,InpUseShadowFilter,InpShadowBodyMult,InpUseRangeReduction,InpRangeReductionPct,InpContNoImpulseBandReturn,InpNarrowBars,InpStdDownMode,InpFlatSlopeATR,InpSlopeSource,InpRetestBufferATR,InpUseReversalCandle,InpRevBodyMaxPct,InpRevShadowMinPct,InpMinSolidita,InpSL_ATRmult,InpTPMode,InpTP1Pct,InpTPRefreshBars,InpBEatATR,InpBEMode,InpMinTPatATR,InpUseCongestionFilter,InpCongBars,InpCongCSMin,InpCongCDAStdBars,InpCongWidthDropPct,InpCongLateralATR,InpRiskPercent,InpMaxPositions,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
1,-24.77,-24.77000,0.00000,-0.31510,-0.08527,0.7850,1,-0.6487,-25,-24.77,1,16385,20,2,20,50,14,1.5,20,3,20,1,0,1.5,0.75,1.5,1,1,1,20,30,1,0,1.5,0,30,0,2,0,0.05,0,0.15,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
2,-12.10,-6.05000,0.51151,-0.14018,-0.05407,0.8603,2,-0.6479,-25,-24.77,2,16385,20,2,20,50,14,1.5,20,3,20,1,0,1.5,0.75,1.5,1,1,1,20,30,1,0,1.5,0,30,0,2,0,0.05,0,0.15,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
0,12.67,12.67000,0.00000,0.15901,0.01186,0.7941,1,-0.3997,-0,-0.00,0,16385,20,2,20,50,14,1.5,20,3,20,1,0,1.5,0.75,1.5,1,1,1,20,30,1,0,1.5,0,30,0,2,0,0.05,0,0.15,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
