Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpMinBoxPts,InpMaxBoxPts,InpPlaceHour,InpPlaceMin,InpEntryCutoffHour,InpEntryCutoffMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpBufferPoints,InpAllowLong,InpAllowShort,InpSLMode,InpMgmtTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP2_R,InpTP2Pct,InpUseEMA200Target,InpEMA200Period,InpTPfinal_R,InpUseTrailing,InpTrailAtrMult,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMaxSpread,InpVerbose
0,1506.43,100.42867,1.48580,0.46817,7.20412,3.1023,15,778150,23,0,4,59,0,0,7,59,8,30,17,30,1,1,90,1000,0,1,1,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,1,1,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN DAX SHORT,0,1
1,1506.43,100.42867,1.48580,0.46817,7.20412,3.1023,15,778151,23,0,4,59,0,0,7,59,8,30,17,30,1,1,90,1000,0,1,1,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,1,1,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN DAX SHORT,0,1
