Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpTF,InpWilliamsPeriod,InpSuperTrendATR,InpSuperTrendMult,InpZonaOB,InpZonaOS,InpMediana,InpCandeleRettangolo,InpIncludiCandelaRottura,InpAttesaCandeleZona,InpCandeleAttesa,InpAnnullaSottoMediana,InpStopBufferPip,InpTargetR,InpMinRR,InpBreakEven1R,InpChiudiSuSegnaleContrario,InpApriSuSegnaleContrario,InpChiudiSuWilliamsOpposto,InpUnaOperazionePerZona,InpRischioMode,InpRiskPercent,InpCrossFamiglia,InpMaxSpreadPip,InpSlippagePoint,InpAutoTest,InpComment,InpLog
1,-1684.28,-1.14811,0.98044,-0.23181,-0.18927,46.6310,1467,779131,15,140,10,3,-20,-80,-50,20,0,1,0,1,1,3,2,1,1,1,0,0,0,1,7,3,20,1,BRKCORSO,0
0,-1684.28,-1.14811,0.98044,-0.23181,-0.18927,46.6310,1467,779130,15,140,10,3,-20,-80,-50,20,0,1,0,1,1,3,2,1,1,1,0,0,0,1,7,3,20,1,BRKCORSO,0
