Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpTF,InpWilliamsPeriod,InpSuperTrendATR,InpSuperTrendMult,InpZonaOB,InpZonaOS,InpMediana,InpCandeleRettangolo,InpIncludiCandelaRottura,InpAttesaCandeleZona,InpCandeleAttesa,InpAnnullaSottoMediana,InpStopBufferPip,InpTargetR,InpMinRR,InpBreakEven1R,InpChiudiSuSegnaleContrario,InpApriSuSegnaleContrario,InpChiudiSuWilliamsOpposto,InpUnaOperazionePerZona,InpRischioMode,InpRiskPercent,InpCrossFamiglia,InpMaxSpreadPip,InpSlippagePoint,InpAutoTest,InpComment,InpLog
1,-8228.45,-4.18538,0.81651,-0.97366,-1.40667,83.7186,1966,779171,15,140,10,3,-20,-80,-50,20,0,1,0,1,1,3,2,1,1,1,0,0,0,1,7,3,20,1,BRKCORSO,0
0,-8228.45,-4.18538,0.81651,-0.97366,-1.40667,83.7186,1966,779170,15,140,10,3,-20,-80,-50,20,0,1,0,1,1,3,2,1,1,1,0,0,0,1,7,3,20,1,BRKCORSO,0
