Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpTF,InpWilliamsPeriod,InpSuperTrendATR,InpSuperTrendMult,InpZonaOB,InpZonaOS,InpMediana,InpCandeleRettangolo,InpIncludiCandelaRottura,InpAttesaCandeleZona,InpCandeleAttesa,InpAnnullaSottoMediana,InpStopBufferPip,InpTargetR,InpMinRR,InpBreakEven1R,InpChiudiSuSegnaleContrario,InpApriSuSegnaleContrario,InpChiudiSuWilliamsOpposto,InpUnaOperazionePerZona,InpRischioMode,InpRiskPercent,InpCrossFamiglia,InpMaxSpreadPip,InpSlippagePoint,InpAutoTest,InpComment,InpLog
0,-4218.91,-7.45390,0.80223,-0.90372,-1.67880,45.4884,566,779160,15,140,10,3,-20,-80,-50,20,0,1,0,1,1,3,2,1,1,1,0,0,0,1,7,3,20,1,BRKCORSO,0
1,-4218.91,-7.45390,0.80223,-0.90372,-1.67880,45.4884,566,779161,15,140,10,3,-20,-80,-50,20,0,1,0,1,1,3,2,1,1,1,0,0,0,1,7,3,20,1,BRKCORSO,0
