Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpTF,InpWilliamsPeriod,InpSuperTrendATR,InpSuperTrendMult,InpZonaOB,InpZonaOS,InpMediana,InpCandeleRettangolo,InpIncludiCandelaRottura,InpAttesaCandeleZona,InpCandeleAttesa,InpAnnullaSottoMediana,InpStopBufferPip,InpTargetR,InpMinRR,InpBreakEven1R,InpChiudiSuSegnaleContrario,InpApriSuSegnaleContrario,InpChiudiSuWilliamsOpposto,InpUnaOperazionePerZona,InpRischioMode,InpRiskPercent,InpCrossFamiglia,InpMaxSpreadPip,InpSlippagePoint,InpAutoTest,InpComment,InpLog
0,-3634.43,-5.29029,0.88795,-0.63105,-1.00133,48.1827,687,779140,15,140,10,3,-20,-80,-50,20,0,1,0,1,1,3,2,1,1,1,0,0,0,1,7,3,20,1,BRKCORSO,0
1,-3634.43,-5.29029,0.88795,-0.63105,-1.00133,48.1827,687,779141,15,140,10,3,-20,-80,-50,20,0,1,0,1,1,3,2,1,1,1,0,0,0,1,7,3,20,1,BRKCORSO,0
