simbolo,ora_server,campioni,giornate,scartati,overflow,mediana_punti,p95_punti,p99_punti,media_punti,max_punti,mediana_unita,p95_unita,max_unita,unita,punti_per_unita,da_symbol_spread
U30USD,9,3596,5,0,0,300,300,600,259.57,800,3.000,3.000,8.000,punti indice,100,0
U30USD,10,3580,5,0,0,300,300,300,258.44,700,3.000,3.000,7.000,punti indice,100,0
U30USD,11,3562,5,0,0,300,300,600,265.78,700,3.000,3.000,7.000,punti indice,100,0
U30USD,12,3567,5,0,0,300,300,300,263.67,600,3.000,3.000,6.000,punti indice,100,0
U30USD,13,3564,5,0,0,300,300,800,269.05,3000,3.000,3.000,30.000,punti indice,100,0
U30USD,14,3578,5,0,0,300,300,300,255.20,900,3.000,3.000,9.000,punti indice,100,0
U30USD,15,3529,5,68,0,200,300,300,232.19,800,2.000,3.000,8.000,punti indice,100,0
U30USD,16,3600,5,0,0,200,300,300,231.75,800,2.000,3.000,8.000,punti indice,100,0
U30USD,17,3600,5,0,0,200,300,900,243.36,1100,2.000,3.000,11.000,punti indice,100,0
U30USD,18,2897,5,703,0,200,300,300,225.61,1000,2.000,3.000,10.000,punti indice,100,0
U30USD,19,2880,4,717,0,200,300,300,219.93,800,2.000,3.000,8.000,punti indice,100,0
U30USD,20,2880,4,714,0,200,300,300,216.39,600,2.000,3.000,6.000,punti indice,100,0
U30USD,21,2626,5,752,0,200,300,300,224.03,800,2.000,3.000,8.000,punti indice,100,0
U30USD,22,0,0,2987,0,n/d,n/d,n/d,n/d,0,n/d,n/d,0.000,punti indice,100,0
U30USD,23,3299,5,300,0,300,800,1000,376.90,1400,3.000,8.000,14.000,punti indice,100,0
NASUSD,0,3599,5,0,0,180,190,190,184.00,490,1.800,1.900,4.900,punti indice,100,0
NASUSD,1,3600,5,0,0,180,190,190,184.11,190,1.800,1.900,1.900,punti indice,100,0
NASUSD,2,3600,5,0,0,180,190,190,184.01,340,1.800,1.900,3.400,punti indice,100,0
NASUSD,3,3600,5,0,0,180,190,190,184.21,470,1.800,1.900,4.700,punti indice,100,0
NASUSD,4,3600,5,0,0,180,190,190,183.99,190,1.800,1.900,1.900,punti indice,100,0
NASUSD,5,3600,5,0,0,180,190,190,183.99,190,1.800,1.900,1.900,punti indice,100,0
NASUSD,6,3585,5,0,0,180,190,190,183.90,340,1.800,1.900,3.400,punti indice,100,0
NASUSD,7,3600,5,0,0,180,190,190,183.97,190,1.800,1.900,1.900,punti indice,100,0
NASUSD,8,3596,5,0,0,180,190,190,183.90,190,1.800,1.900,1.900,punti indice,100,0
NASUSD,9,3596,5,0,0,180,190,190,184.12,340,1.800,1.900,3.400,punti indice,100,0
NASUSD,10,3580,5,0,0,180,190,190,184.14,390,1.800,1.900,3.900,punti indice,100,0
NASUSD,11,3562,5,0,0,180,190,190,184.14,370,1.800,1.900,3.700,punti indice,100,0
NASUSD,12,3567,5,0,0,180,190,190,184.09,410,1.800,1.900,4.100,punti indice,100,0
NASUSD,13,3564,5,0,0,180,190,190,185.77,610,1.800,1.900,6.100,punti indice,100,0
NASUSD,14,3578,5,0,0,180,190,190,183.99,190,1.800,1.900,1.900,punti indice,100,0
NASUSD,15,3538,5,59,0,180,190,190,184.23,380,1.800,1.900,3.800,punti indice,100,0
NASUSD,16,3600,5,0,0,180,190,190,184.05,190,1.800,1.900,1.900,punti indice,100,0
NASUSD,17,3600,5,0,0,180,190,190,184.26,340,1.800,1.900,3.400,punti indice,100,0
NASUSD,18,2898,5,702,0,180,190,190,184.10,190,1.800,1.900,1.900,punti indice,100,0
NASUSD,19,2880,4,717,0,180,190,190,184.17,610,1.800,1.900,6.100,punti indice,100,0
NASUSD,20,2880,4,714,0,180,190,190,184.10,340,1.800,1.900,3.400,punti indice,100,0
NASUSD,21,2628,5,750,0,180,190,190,184.45,390,1.800,1.900,3.900,punti indice,100,0
NASUSD,22,0,0,2987,0,n/d,n/d,n/d,n/d,0,n/d,n/d,0.000,punti indice,100,0
NASUSD,23,3299,5,300,0,180,190,190,184.49,370,1.800,1.900,3.700,punti indice,100,0
225JPY,0,3595,5,4,0,35,35,35,35.00,35,35.000,35.000,35.000,punti indice,1,0
225JPY,1,3600,5,0,0,22,22,35,22.22,35,22.000,22.000,35.000,punti indice,1,0
225JPY,2,3600,5,0,0,22,22,22,22.00,22,22.000,22.000,22.000,punti indice,1,0
225JPY,3,3600,5,0,0,22,22,22,22.00,22,22.000,22.000,22.000,punti indice,1,0
225JPY,4,3600,5,0,0,22,22,22,22.00,22,22.000,22.000,22.000,punti indice,1,0
225JPY,5,3600,5,0,0,22,22,22,22.00,22,22.000,22.000,22.000,punti indice,1,0
225JPY,6,3585,5,0,0,22,22,22,22.00,22,22.000,22.000,22.000,punti indice,1,0
225JPY,7,3600,5,0,0,22,35,35,26.55,35,22.000,35.000,35.000,punti indice,1,0
225JPY,8,3596,5,0,0,35,35,35,35.00,35,35.000,35.000,35.000,punti indice,1,0
225JPY,9,3596,5,0,0,23,23,35,22.72,35,23.000,23.000,35.000,punti indice,1,0
225JPY,10,3580,5,0,0,22,23,23,22.50,23,22.000,23.000,23.000,punti indice,1,0
225JPY,11,3562,5,0,0,23,23,23,22.51,23,23.000,23.000,23.000,punti indice,1,0
225JPY,12,3567,5,0,0,22,23,23,22.49,23,22.000,23.000,23.000,punti indice,1,0
225JPY,13,3564,5,0,0,22,23,23,22.50,23,22.000,23.000,23.000,punti indice,1,0
225JPY,14,3578,5,0,0,22,23,23,22.49,23,22.000,23.000,23.000,punti indice,1,0
225JPY,15,3538,5,59,0,23,23,23,22.51,23,23.000,23.000,23.000,punti indice,1,0
225JPY,16,3600,5,0,0,23,23,23,22.51,23,23.000,23.000,23.000,punti indice,1,0
225JPY,17,3600,5,0,0,23,23,23,22.51,23,23.000,23.000,23.000,punti indice,1,0
225JPY,18,2898,5,702,0,23,23,23,22.51,23,23.000,23.000,23.000,punti indice,1,0
225JPY,19,2880,4,717,0,23,23,23,22.51,23,23.000,23.000,23.000,punti indice,1,0
225JPY,20,2880,4,714,0,22,23,23,22.49,23,22.000,23.000,23.000,punti indice,1,0
225JPY,21,2622,4,756,0,23,35,35,28.14,35,23.000,35.000,35.000,punti indice,1,0
225JPY,22,0,0,2987,0,n/d,n/d,n/d,n/d,0,n/d,n/d,0.000,punti indice,1,0
225JPY,23,3085,5,514,0,22,22,22,22.00,22,22.000,22.000,22.000,punti indice,1,0
EURUSD,0,3593,5,6,0,3,5,5,2.91,6,0.300,0.500,0.600,pip,10,0
EURUSD,1,3600,5,0,0,3,4,5,2.70,5,0.300,0.400,0.500,pip,10,0
EURUSD,2,3600,5,0,0,3,4,5,2.64,6,0.300,0.400,0.600,pip,10,0
EURUSD,3,3600,5,0,0,2,4,5,2.65,5,0.200,0.400,0.500,pip,10,0
EURUSD,4,3600,5,0,0,2,4,5,2.60,6,0.200,0.400,0.600,pip,10,0
EURUSD,5,3600,5,0,0,3,4,5,2.71,5,0.300,0.400,0.500,pip,10,0
EURUSD,6,3585,5,0,0,3,4,5,2.66,5,0.300,0.400,0.500,pip,10,0
EURUSD,7,3600,5,0,0,2,4,5,2.61,6,0.200,0.400,0.600,pip,10,0
EURUSD,8,3596,5,0,0,2,4,4,2.52,5,0.200,0.400,0.500,pip,10,0
EURUSD,9,3596,5,0,0,2,4,5,2.53,5,0.200,0.400,0.500,pip,10,0
EURUSD,10,3580,5,0,0,2,4,5,2.52,5,0.200,0.400,0.500,pip,10,0
EURUSD,11,3562,5,0,0,2,4,5,2.51,6,0.200,0.400,0.600,pip,10,0
