Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpPivotR,InpPivotSource,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpHourStart,InpHourEnd,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
0,-482.71,-10.72689,0.79865,-0.48760,-1.27865,9.8380,45,-1.3914,-402,-402.05,3,0,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
4,-467.96,-18.71840,0.67495,-0.49729,-1.83511,9.3515,25,-1.4232,-807,-807.36,5,1,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
3,-420.11,-11.35432,0.78192,-0.49790,-1.29101,8.4331,37,-1.9620,-486,-486.27,3,1,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
1,216.23,6.17800,1.13283,0.42109,0.52799,4.7858,35,-1.4299,-318,-317.95,5,0,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
5,-521.20,-23.69091,0.61059,-0.80134,-2.04557,6.4924,22,-1.4223,-614,-613.88,7,1,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
2,-130.27,-4.49207,0.91191,-0.20100,-0.33330,6.1619,29,-1.4371,-418,-418.09,7,0,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
6,-560.88,-22.43520,0.60997,-0.64122,-2.69407,8.6925,25,-1.4714,-628,-627.89,3,2,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
7,323.96,26.99667,1.75205,1.10438,1.00539,2.8947,12,-1.1045,-214,-213.69,5,2,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
8,428.45,38.95000,2.31314,2.20294,1.25258,1.9193,11,-1.1050,-115,-115.46,7,2,16385,11,0,11,20,5,60,0,0,8,18,3,3,1,30,1,500,1,1,300,1,772401,EZ TREND,1
