Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpAllowLong,InpAllowShort,InpTF,InpPatternMode,InpExitMode,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
1,737.30,56.71538,7.75616,4.58491,2.99514,1.5354,13,-1.0055,-104,-104.21,1,0,16385,0,0,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
2,-328.84,-14.94727,0.68026,-0.51740,-1.70573,6.3248,22,-1.1581,-402,-401.76,0,1,16385,0,0,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
3,387.85,11.08143,1.33318,0.81532,1.52894,4.6420,35,-1.1542,-406,-406.20,1,1,16385,0,0,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
