Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpAllowLong,InpAllowShort,InpTF,InpPatternMode,InpExitMode,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
1,-112.90,-8.68462,0.77324,-0.37847,-0.34599,2.9614,13,-1.0172,-167,-166.68,1,0,16385,1,0,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
2,-167.07,-16.70700,0.37867,-0.56551,-0.55324,2.9328,10,-1.0492,-105,-105.26,0,1,16385,1,0,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
3,-359.46,-17.11714,0.52592,-0.63408,-2.04023,5.5914,21,-1.0444,-194,-193.67,1,1,16385,1,0,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
