Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpAllowLong,InpAllowShort,InpTF,InpPatternMode,InpExitMode,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
1,494.43,32.96200,2.05064,2.59680,1.33587,1.8635,15,-1.2041,-95,-103.83,1,0,16385,1,1,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
2,312.01,13.56565,1.33927,0.69428,1.05797,4.4775,23,-1.2129,-385,-385.11,0,1,16385,1,1,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
3,830.77,25.17485,1.74052,2.05993,2.03173,3.7217,33,-1.2283,-309,-308.68,1,1,16385,1,1,1.5,0,0.1,1.5,14,0,0,5,300,3,1,772301,LARRY,1
