Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpUseTimeWindow,InpUsaGuardian,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose,InpLogImbuto
0,-2181.88,-35.19161,0.69338,-0.36496,-4.93397,5.8286,62,0,0,16385,3.5,9,1,1,1,0,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,14,22,0,abtg_news.csv,3,30,30,0,,STREV_R243b,0,20,764281,0,1,1
1,-2768.64,-72.85895,0.45776,-0.52682,-5.00000,5.1899,38,1,0,16385,3.5,9,1,1,1,0,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,14,22,0,abtg_news.csv,3,30,30,0,,STREV_R243b,0,20,764281,0,1,1
