Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpRangeMinutes,InpFadeOffsetPts,InpAtrSlMult,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
2,-3015.26,-9.36416,0.66442,-0.99363,-5.00000,30.2873,322,-1.2537,-410,-410.12,15,200,1.0,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
0,-3382.72,-10.50534,0.60763,-0.99678,-5.00000,33.8994,322,-1.1298,-606,-606.29,15,0,1.0,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
6,-2493.87,-8.01887,0.66527,-0.99320,-5.00000,25.0667,311,-1.3749,-683,-682.97,15,0,1.5,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
4,-2830.20,-8.52470,0.70886,-0.96627,-5.00000,29.2091,332,-1.1576,-353,-365.34,15,400,1.0,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
3,-1370.93,-4.23127,0.85033,-0.69198,-5.00000,18.6723,324,-1.3666,-551,-551.46,35,200,1.0,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
5,-707.47,-2.15692,0.92815,-0.39230,-5.00000,16.2528,328,-1.2817,-880,-880.25,35,400,1.0,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
1,-1325.61,-4.04149,0.84740,-0.99280,-5.00000,13.3395,328,-1.4280,-498,-497.75,35,0,1.0,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
7,-1793.61,-5.93911,0.75968,-0.91010,-5.00000,19.3648,302,-1.6181,-578,-577.83,35,0,1.5,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
9,-787.90,-2.60033,0.89715,-0.62991,-5.00000,11.9548,303,-1.6584,-520,-520.25,35,200,1.5,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
8,-1891.15,-6.08087,0.74822,-0.98815,-5.00000,19.0950,311,-1.2605,-294,-293.70,15,200,1.5,8,0,17,30,1,1,0,3,0,16385,60,500,0,120,1,1,0,0,200,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
