Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpEmaSlow,InpTP1_R,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
0,2087.06,11.22075,1.45236,4.48483,18.39252,4.0996,186,20,0.33,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
30,2807.14,15.09215,1.49167,4.54392,16.95546,4.7881,186,20,0.84,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
15,1637.62,8.27081,1.31351,2.55308,11.57245,6.3579,198,120,0.50,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
35,1995.19,10.07672,1.35089,3.20235,11.59139,6.1497,198,120,0.84,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
10,2339.52,12.57806,1.45109,3.74287,17.29571,5.3267,186,20,0.50,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
5,1599.17,8.07662,1.34921,1.90122,13.51517,8.3373,198,120,0.33,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
20,2613.47,14.05091,1.47655,4.22775,16.98082,4.8677,186,20,0.67,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
25,1599.60,8.07879,1.29100,2.54474,10.12135,6.2306,198,120,0.67,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
1,1652.75,8.79122,1.36684,2.44446,15.13551,6.7018,188,40,0.33,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
31,2189.34,11.64543,1.39260,4.01507,13.76913,4.4297,188,40,0.84,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
6,1495.67,7.55389,1.31880,1.77946,12.75148,8.3313,198,140,0.33,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
16,1652.89,8.34793,1.31086,2.57934,11.63883,6.3519,198,140,0.50,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
11,1755.58,9.33819,1.33985,3.28005,13.35551,5.2782,188,40,0.50,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
36,1843.47,9.31045,1.31907,2.97425,10.68939,6.1436,198,140,0.84,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0,0,0,1,1,5,2,12532,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
