Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpBufferPoints,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpMagic,InpMaxSpread,InpVerbose
178,5300.64,47.75351,1.11637,0.36354,8.96106,13.0286,111,55,300,400,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
198,9599.95,90.56557,1.21372,0.62860,15.63699,13.4996,106,35,100,500,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
143,4901.76,43.37841,1.10633,0.39988,8.31289,10.9049,113,60,400,300,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
147,9599.95,90.56557,1.21372,0.62860,15.63699,13.4996,106,20,100,400,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
368,5300.64,47.75351,1.11637,0.36354,8.96106,13.0286,111,45,300,800,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
87,4901.76,43.37841,1.10633,0.39988,8.31289,10.9049,113,20,400,200,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
118,7892.34,74.45604,1.17810,0.50689,13.58891,13.8117,106,55,200,300,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
310,7892.34,74.45604,1.17810,0.50689,13.58891,13.8117,106,55,200,700,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
352,7892.34,74.45604,1.17810,0.50689,13.58891,13.8117,106,25,200,800,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
166,7892.34,74.45604,1.17810,0.50689,13.58891,13.8117,106,55,200,400,14,30,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
