giorno;pct_viva;pct_nuova;pct_somma
2025.06.10;0.1123;0.0299;0.1422
2025.06.11;0.2654;0.6679;0.9333
2025.06.12;0.0000;0.8350;0.8350
2025.06.16;0.0000;0.8587;0.8587
2025.06.17;0.0000;0.4978;0.4978
2025.06.18;0.0000;0.1392;0.1392
2025.06.19;0.0000;0.3826;0.3826
2025.06.20;0.0000;-0.9106;-0.9106
2025.06.23;0.0000;0.4897;0.4897
2025.06.24;0.0863;0.0580;0.1443
2025.06.26;0.3226;0.1473;0.4698
2025.06.27;0.2146;0.6110;0.8256
2025.07.01;0.0000;0.2182;0.2182
2025.07.02;0.0889;0.0468;0.1357
2025.07.03;0.0445;0.3761;0.4206
2025.07.04;-0.1929;0.0562;-0.1367
2025.07.08;0.0000;-1.0066;-1.0066
2025.07.09;0.0000;-1.1958;-1.1958
2025.07.10;0.0000;1.4752;1.4752
2025.07.11;0.0000;-1.0142;-1.0142
2025.07.14;0.0000;0.1536;0.1536
2025.07.17;0.0000;-0.3184;-0.3184
2025.07.21;0.0000;0.2063;0.2063
2025.07.22;0.0000;-0.6048;-0.6048
2025.07.24;0.0720;0.0415;0.1135
2025.07.25;0.0339;-0.0167;0.0172
2025.07.28;0.0134;0.0424;0.0558
2025.07.30;0.0000;0.0722;0.0722
2025.07.31;0.0000;-0.9553;-0.9553
2025.08.01;0.0000;0.0213;0.0213
2025.08.06;0.0000;0.0998;0.0998
2025.08.08;0.0000;0.6569;0.6569
2025.08.13;-0.3006;0.4598;0.1592
2025.08.14;-1.0002;-0.0063;-1.0064
2025.08.18;0.0000;-0.9481;-0.9481
2025.08.19;0.0943;0.1109;0.2052
2025.08.21;0.0704;0.6168;0.6872
2025.08.22;0.3000;1.3883;1.6883
2025.08.26;0.0000;-0.2578;-0.2578
2025.08.27;0.0000;-0.2394;-0.2394
2025.08.29;0.0000;-0.9395;-0.9395
2025.09.01;0.0454;0.4767;0.5221
2025.09.02;0.0000;0.3851;0.3851
2025.09.04;0.0000;0.2859;0.2859
2025.09.08;-0.2911;0.1753;-0.1159
2025.09.09;-0.9994;-0.9465;-1.9459
2025.09.10;0.0000;-0.9125;-0.9125
2025.09.11;0.1933;1.3179;1.5112
2025.09.15;0.0575;0.0425;0.1000
2025.09.17;-0.3152;-0.3959;-0.7111
2025.09.18;0.0789;1.4102;1.4891
2025.09.22;0.5722;0.0759;0.6481
2025.09.23;-0.9822;0.1754;-0.8069
2025.09.25;0.0000;0.0281;0.0281
2025.09.26;0.0000;-0.9571;-0.9571
2025.09.30;0.0000;-0.9456;-0.9456
2025.10.01;0.0000;0.3101;0.3101
2025.10.02;0.0000;-0.9188;-0.9188
2025.10.03;0.0000;0.0249;0.0249
2025.10.08;0.1982;0.1719;0.3701
2025.10.10;0.0000;-0.8739;-0.8739
2025.10.14;0.0000;-1.0452;-1.0452
2025.10.15;-0.9926;0.3454;-0.6472
2025.10.16;0.0000;-0.9715;-0.9715
2025.10.17;0.0000;-0.9328;-0.9328
2025.10.20;0.0000;1.3755;1.3755
2025.10.21;0.6308;1.3645;1.9953
2025.10.23;0.0000;-0.9862;-0.9862
2025.10.24;0.3201;0.1683;0.4884
2025.10.27;0.0000;-0.5144;-0.5144
2025.10.29;0.0000;-0.0615;-0.0615
2025.10.30;0.0906;0.3303;0.4209
2025.10.31;-0.9898;0.0441;-0.9458
2025.11.03;-0.9858;0.0914;-0.8944
2025.11.04;0.0000;-1.0150;-1.0150
2025.11.05;0.0000;0.1069;0.1069
2025.11.07;0.0000;0.0000;0.0000
2025.11.10;2.0230;-1.0403;0.9827
2025.11.11;0.1341;1.4852;1.6193
2025.11.12;2.0224;1.4768;3.4992
2025.11.13;-1.0036;-0.9744;-1.9780
2025.11.14;0.0000;0.0060;0.0060
2025.11.17;0.0000;1.4429;1.4429
2025.11.18;0.0000;-0.9371;-0.9371
2025.11.19;0.0000;1.1525;1.1525
2025.11.21;0.0000;1.5032;1.5032
2025.11.24;0.0000;1.4123;1.4123
2025.11.25;0.0000;-1.0265;-1.0265
2025.11.26;1.9989;0.0824;2.0813
2025.11.27;0.2259;0.1299;0.3558
2025.11.28;1.2690;0.0000;1.2690
2025.12.01;2.0122;1.4586;3.4708
2025.12.02;-0.9988;0.7314;-0.2674
2025.12.03;0.4069;-1.0218;-0.6150
2025.12.04;0.4947;1.4477;1.9424
2025.12.05;1.1891;1.4310;2.6201
2025.12.08;0.0696;0.7845;0.8541
2025.12.09;0.0000;1.4340;1.4340
2025.12.10;0.0000;0.3621;0.3621
2025.12.11;0.0000;-1.0204;-1.0204
2025.12.12;-1.0121;0.5497;-0.4624
2025.12.15;-0.9897;0.2915;-0.6982
2025.12.17;0.5468;-1.0006;-0.4538
2025.12.18;0.0000;0.1817;0.1817
2025.12.19;0.0000;1.4719;1.4719
2025.12.22;0.5268;1.4692;1.9960
2025.12.23;0.4507;-0.9925;-0.5419
2025.12.24;2.0076;-1.1133;0.8943
2025.12.26;0.0730;-1.0000;-0.9270
2025.12.29;-1.0007;-1.0653;-2.0661
2025.12.30;-0.9992;0.0000;-0.9992
2025.12.31;0.0000;0.4509;0.4509
2026.01.02;0.0000;-1.0088;-1.0088
2026.01.06;0.9350;1.3745;2.3095
2026.01.07;0.5139;1.5099;2.0238
2026.01.08;0.5028;1.4577;1.9605
2026.01.09;-1.0061;-0.9652;-1.9713
2026.01.12;-1.0227;0.1549;-0.8678
2026.01.14;0.0000;1.4667;1.4667
2026.01.15;0.0000;1.5526;1.5526
2026.01.16;-0.9631;1.4998;0.5367
2026.01.19;0.0000;-0.9741;-0.9741
2026.01.20;0.0000;-0.9996;-0.9996
2026.01.21;0.0000;1.5777;1.5777
2026.01.22;1.4060;0.0479;1.4539
2026.01.23;-1.0211;-1.0228;-2.0438
2026.01.26;0.0000;1.4755;1.4755
2026.01.28;0.0000;1.4654;1.4654
2026.01.29;0.0000;-1.0200;-1.0200
2026.02.03;0.0775;1.4872;1.5647
2026.02.04;0.7862;1.4420;2.2282
2026.02.06;0.0000;1.4611;1.4611
2026.02.09;1.1007;1.4802;2.5808
2026.02.10;0.0000;1.4818;1.4818
2026.02.11;-0.9981;-0.9990;-1.9971
2026.02.12;0.4870;-0.9771;-0.4901
2026.02.13;0.0000;-0.9842;-0.9842
2026.02.16;0.0000;-1.0135;-1.0135
2026.02.17;0.0000;1.2638;1.2638
2026.02.18;0.8896;-0.9822;-0.0926
2026.02.19;0.0000;-1.0386;-1.0386
2026.02.20;0.0000;1.0932;1.0932
2026.02.23;0.0000;1.4695;1.4695
2026.02.24;0.0000;1.4922;1.4922
2026.02.25;0.0000;1.4783;1.4783
2026.02.26;-1.0011;1.5434;0.5423
2026.02.27;0.0000;1.4167;1.4167
2026.03.02;0.0000;0.3182;0.3182
2026.03.03;0.0000;0.2200;0.2200
2026.03.04;0.0000;-1.0032;-1.0032
2026.03.05;0.0000;0.7719;0.7719
2026.03.06;0.0000;0.6804;0.6804
2026.03.09;0.0000;0.2670;0.2670
2026.03.10;0.0000;0.0282;0.0282
2026.03.11;0.0000;0.4043;0.4043
2026.03.12;0.0000;-0.9771;-0.9771
2026.03.13;0.0000;0.0493;0.0493
2026.03.16;0.0000;-0.9020;-0.9020
2026.03.17;0.0000;0.4862;0.4862
2026.03.18;0.0000;0.3837;0.3837
2026.03.19;0.0000;-0.9297;-0.9297
2026.03.20;0.0000;0.3163;0.3163
2026.03.25;0.0000;0.3811;0.3811
2026.03.27;0.0000;0.0410;0.0410
2026.03.30;0.0000;0.3605;0.3605
2026.03.31;0.0000;-0.9880;-0.9880
2026.04.01;0.0106;-0.9078;-0.8971
2026.04.06;-0.1797;0.0000;-0.1797
2026.04.07;0.0000;0.0760;0.0760
2026.04.08;0.0000;-1.0045;-1.0045
2026.04.09;0.0000;0.0988;0.0988
2026.04.13;0.2374;0.2422;0.4796
2026.04.14;0.1786;0.0136;0.1922
2026.04.17;0.0000;0.6391;0.6391
2026.04.20;0.0000;-1.0304;-1.0304
2026.04.21;0.0000;0.4076;0.4076
2026.04.22;-0.9988;0.1096;-0.8892
2026.04.23;0.0000;0.4447;0.4447
2026.04.30;0.4310;0.7410;1.1720
2026.05.01;0.0000;0.0701;0.0701
2026.05.04;0.2087;0.1693;0.3780
2026.05.05;0.0000;0.2395;0.2395
2026.05.06;0.3469;0.2776;0.6245
2026.05.11;-0.2772;0.0140;-0.2632
2026.05.13;0.1166;0.0699;0.1866
2026.05.14;0.1061;0.0000;0.1061
2026.05.18;0.0000;0.4073;0.4073
2026.05.19;0.0000;0.0338;0.0338
2026.05.20;0.0000;0.1269;0.1269
2026.05.21;-0.4160;0.8995;0.4835
2026.05.22;0.0717;0.0361;0.1078
2026.05.25;-0.9977;-1.0907;-2.0884
2026.05.26;0.0000;-0.9292;-0.9292
2026.05.27;0.4898;0.4893;0.9791
2026.05.28;0.0073;0.3405;0.3478
2026.05.29;0.5478;0.8328;1.3805
2026.06.01;0.0000;0.0603;0.0603
2026.06.02;-0.1645;-0.1706;-0.3351
2026.06.04;0.2097;0.6269;0.8366
2026.06.09;0.0000;0.0643;0.0643
2026.06.10;0.0000;-0.8959;-0.8959
2026.06.11;0.0000;0.1422;0.1422
2026.06.12;0.2183;0.1475;0.3658
2026.06.15;0.0000;0.0859;0.0859
2026.06.16;0.0000;0.2410;0.2410
2026.06.17;0.0000;0.2951;0.2951
2026.06.19;-0.1132;-0.2820;-0.3953
2026.06.22;-0.9969;-0.8793;-1.8762
2026.06.23;0.0000;0.1065;0.1065
2026.06.24;0.6710;0.7135;1.3844
2026.06.25;0.1964;0.7427;0.9391
2026.06.26;0.4506;0.8100;1.2606
2026.06.29;-0.5599;-0.9045;-1.4644
