Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpTrailStartR,InpTrailTF,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
0,-241.55,-1.72536,0.85322,-0.43145,-5.00000,5.5565,140,-1.0029,-194,-193.55,0.00,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
6,-294.20,-1.72047,0.90978,-0.34789,-3.80330,8.1038,171,-1.0052,-265,-264.56,0.25,2,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
12,-297.17,-1.49332,0.93566,-0.35284,-2.29771,8.3925,199,-1.0142,-297,-297.45,0.50,3,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
18,405.37,2.04732,1.07456,0.44701,2.11396,9.0365,198,-1.0253,-314,-313.99,0.75,4,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
21,-80.38,-0.41648,0.97963,-0.08842,-0.81809,8.4646,193,-1.0292,-296,-296.43,0.25,5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
9,1172.94,5.95401,1.19741,1.21572,5.07019,9.5772,197,-1.0294,-536,-535.72,1.00,2,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
3,200.68,1.01868,1.03857,0.23930,1.13180,8.3565,197,-1.0264,-300,-300.07,0.75,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
15,604.29,3.51331,1.22604,0.91860,7.89623,5.9182,172,-1.0110,-214,-214.20,0.00,4,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
1,-425.70,-2.64410,0.86033,-0.57319,-5.00000,7.2874,161,-1.0117,-265,-264.56,0.25,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
13,300.34,1.52457,1.05570,0.33675,1.57718,8.8874,197,-1.0096,-311,-311.37,0.75,3,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,770101,0,1
