Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpOpeningRangeMinutes,InpMinimumBuyGapPercent,InpMinimumSellGapPercent,InpFinalTargetR,InpSessionTimeMode,InpSessionOpenHour,InpSessionOpenMinute,InpSessionCloseHour,InpSessionCloseMinute,InpMaxEntryMinutesFromOpen,InpExitMinutesBeforeClose,InpEnableBuyGaps,InpEnableSellGaps,InpUseRealVolumeIfAvailable,InpMaxSpreadPoints,InpMaxSpreadToStopPercent,InpStopBufferPoints,InpBuyRiskPercent,InpSellRiskPercent,InpReduceRiskOnSmallSellGap,InpSellFullRiskFromGapPct,InpSmallSellRiskPercent,InpFixedLots,InpMaxLots,InpPartialClosePercent,InpPartialTargetR,InpMoveStopToBreakEven,InpMagicNumber,InpMaxSlippagePoints,InpShowStatusOnChart,InpPrintDailyDiagnostics,InpComment
0,-5158.51,-59.98267,0.79170,-0.63106,-5.00000,7.9488,86,-1.0032,-4190,-4190.02,5,0.50,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
6,-2079.34,-39.23283,0.86609,-0.41917,-4.67589,4.8564,53,-1.0032,-2683,-2682.63,5,1.00,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
18,-3319.10,-43.10519,0.84616,-0.39932,-5.00000,7.9303,77,-1.0035,-4234,-4234.28,5,0.50,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
24,-232.81,-5.29114,0.98111,-0.04396,-0.66495,5.0764,44,-1.0035,-4117,-4116.80,5,1.00,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
36,-4466.51,-55.14210,0.80483,-0.45432,-5.00000,9.3465,81,-1.0030,-4204,-4203.75,5,0.50,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
12,-4962.46,-85.55966,0.72679,-0.63061,-5.00000,7.7021,58,-1.0040,-3704,-3704.10,5,0.75,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
30,-6242.44,-99.08635,0.68923,-0.69697,-5.00000,8.7827,63,-1.0033,-3704,-3704.10,5,0.75,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
42,-2299.41,-47.90437,0.83087,-0.35913,-5.00000,6.1941,48,-1.0027,-2672,-2672.17,5,1.00,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
25,334.59,7.96643,1.02912,0.07353,0.75700,4.4049,42,-1.0029,-2782,-2781.88,10,1.00,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
19,-4236.96,-61.40522,0.80427,-0.38463,-5.00000,10.3951,69,-1.0037,-4404,-4403.60,10,0.50,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
