Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMinimumBuyGapPercent,InpMinimumSellGapPercent,InpSessionTimeMode,InpSessionOpenHour,InpSessionOpenMinute,InpSessionCloseHour,InpSessionCloseMinute,InpOpeningRangeMinutes,InpMaxEntryMinutesFromOpen,InpExitMinutesBeforeClose,InpEnableBuyGaps,InpEnableSellGaps,InpUseRealVolumeIfAvailable,InpMaxSpreadPoints,InpMaxSpreadToStopPercent,InpStopBufferPoints,InpBuyRiskPercent,InpSellRiskPercent,InpReduceRiskOnSmallSellGap,InpSellFullRiskFromGapPct,InpSmallSellRiskPercent,InpFixedLots,InpMaxLots,InpPartialClosePercent,InpPartialTargetR,InpFinalTargetR,InpMoveStopToBreakEven,InpMagicNumber,InpMaxSlippagePoints,InpShowStatusOnChart,InpPrintDailyDiagnostics,InpComment
0,2437.54,62.50103,1.30640,0.53897,4.22607,4.2648,39,-0.9999,-2059,-2059.04,1.00,1.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
3,3143.91,120.91962,1.73533,0.95359,8.36089,3.1094,26,-1.0004,-2067,-2067.33,1.75,1.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
9,1619.86,101.24125,1.53343,0.51037,3.20886,3.0351,16,-0.9993,-1859,-1858.74,2.00,1.25,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
6,-1352.92,-67.64600,0.77218,-0.30824,-2.97881,4.2598,20,-1.0005,-2621,-2620.59,1.25,1.25,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
18,-234.10,-21.28182,0.89135,-0.11391,-0.25864,2.0271,11,-1.0008,-1009,-1008.59,1.75,1.75,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
12,1148.13,82.00929,1.37946,0.43232,1.94843,2.5584,14,-0.9994,-1854,-1854.12,1.50,1.50,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
15,-967.58,-40.31583,0.83362,-0.17587,-2.09079,5.3582,24,-1.0002,-2027,-2027.46,1.00,1.75,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
21,-2581.08,-215.09000,0.36672,-0.68424,-2.85669,3.7278,12,-1.0005,-2159,-2159.25,1.25,2.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
1,159.75,5.32500,1.02228,0.03798,0.35779,4.0454,30,-0.9996,-2821,-2821.38,1.25,1.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
4,3143.91,120.91962,1.73533,0.95359,8.36089,3.1094,26,-1.0004,-2067,-2067.33,2.00,1.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
