Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagicNumber,InpUsaGuardian,InpSessionTimeMode,InpSessionOpenHour,InpSessionOpenMinute,InpSessionCloseHour,InpSessionCloseMinute,InpOpeningRangeMinutes,InpMaxEntryMinutesFromOpen,InpExitMinutesBeforeClose,InpEnableBuyGaps,InpMinimumBuyGapPercent,InpEnableSellGaps,InpMinimumSellGapPercent,InpUseRealVolumeIfAvailable,InpMaxSpreadPoints,InpMaxSpreadToStopPercent,InpStopBufferPoints,InpBuyRiskPercent,InpSellRiskPercent,InpReduceRiskOnSmallSellGap,InpSellFullRiskFromGapPct,InpSmallSellRiskPercent,InpFixedLots,InpMaxLots,InpPartialClosePercent,InpPartialTargetR,InpFinalTargetR,InpMoveStopToBreakEven,InpMaxSlippagePoints,InpShowStatusOnChart,InpPrintDailyDiagnostics,InpComment,InpLogImbuto
0,433.33,6.28014,1.21957,0.87435,3.92136,4.9501,69,-1.0166,-282,-281.80,792702,1,1,9,0,17,30,15,90,5,0,0.5,1,0.5,1,0,10,1500,1,1,0,1.25,0.25,0,0,40,1,2,1,30,0,0,GCDAXS9,1
1,433.33,6.28014,1.21957,0.87435,3.92136,4.9501,69,-1.0166,-282,-281.80,792752,1,1,9,0,17,30,15,90,5,0,0.5,1,0.5,1,0,10,1500,1,1,0,1.25,0.25,0,0,40,1,2,1,30,0,0,GCDAXS9,1
