Time,Open,High,Low,Close,Volume
2015.06.15 02:00,17843.949,17848.926,17843.646,17845.908,68
2015.06.15 02:01,17844.706,17844.995,17838.822,17838.879,49
2015.06.15 02:02,17838.873,17839.962,17836.704,17838.767,50
2015.06.15 02:03,17838.874,17839.956,17829.731,17831.740,59
2015.06.15 02:04,17831.778,17832.983,17829.614,17829.973,50
2015.06.15 02:05,17830.978,17831.914,17826.618,17830.994,61
2015.06.15 02:06,17830.806,17831.972,17827.632,17827.892,43
2015.06.15 02:07,17827.970,17829.984,17825.634,17825.766,51
2015.06.15 02:08,17825.725,17827.983,17825.628,17825.864,23
2015.06.15 02:09,17825.910,17826.993,17825.701,17825.842,22
2015.06.15 02:10,17825.795,17827.966,17825.795,17827.718,19
2015.06.15 02:11,17827.649,17828.997,17827.528,17827.888,34
2015.06.15 02:12,17827.665,17827.946,17822.429,17824.865,32
2015.06.15 02:13,17823.839,17823.980,17823.684,17823.822,18
2015.06.15 02:14,17823.751,17823.847,17822.614,17823.847,7
2015.06.15 02:15,17823.723,17826.883,17823.561,17826.883,20
2015.06.15 02:16,17826.866,17826.960,17825.710,17825.799,11
2015.06.15 02:17,17825.899,17825.987,17825.545,17825.974,11
2015.06.15 02:18,17825.552,17826.962,17823.654,17826.718,21
2015.06.15 02:19,17826.791,17827.982,17825.631,17827.982,19
2015.06.15 02:20,17827.867,17828.815,17827.843,17828.796,6
2015.06.15 02:21,17829.659,17832.805,17829.659,17831.654,22
2015.06.15 02:22,17830.566,17830.963,17826.503,17826.936,25
2015.06.15 02:23,17826.864,17826.976,17820.648,17822.852,37
2015.06.15 02:24,17822.755,17822.985,17820.616,17822.780,32
2015.06.15 02:25,17821.864,17823.972,17820.574,17822.680,37
2015.06.15 02:26,17823.928,17825.715,17823.565,17823.716,28
2015.06.15 02:27,17823.798,17827.939,17821.560,17827.939,47
2015.06.15 02:28,17827.719,17829.999,17826.621,17829.999,26
2015.06.15 02:29,17828.806,17833.936,17827.738,17832.831,32
2015.06.15 02:30,17831.821,17835.952,17831.676,17835.819,33
2015.06.15 02:31,17839.965,17849.876,17839.662,17845.743,61
2015.06.15 02:32,17845.842,17852.947,17845.632,17848.856,56
2015.06.15 02:33,17848.905,17848.905,17844.696,17844.697,33
2015.06.15 02:34,17845.975,17846.989,17844.800,17846.802,27
2015.06.15 02:35,17846.723,17846.987,17845.571,17845.911,24
2015.06.15 02:36,17845.904,17845.904,17840.979,17840.979,31
2015.06.15 02:37,17840.969,17841.790,17840.657,17840.657,7
2015.06.15 02:38,17840.680,17841.761,17838.645,17839.841,31
2015.06.15 02:39,17839.885,17840.973,17839.809,17840.921,11
2015.06.15 02:40,17840.986,17844.818,17840.716,17844.818,11
2015.06.15 02:41,17844.918,17849.999,17844.918,17849.867,21
2015.06.15 02:42,17849.757,17851.817,17848.585,17849.714,29
2015.06.15 02:43,17849.837,17850.906,17848.770,17848.770,16
2015.06.15 02:44,17848.854,17850.890,17848.854,17849.732,16
2015.06.15 02:45,17849.925,17851.920,17849.780,17851.668,9
2015.06.15 02:46,17851.928,17851.960,17849.596,17849.659,23
2015.06.15 02:47,17849.694,17851.991,17849.694,17850.968,32
2015.06.15 02:48,17850.867,17850.961,17847.495,17847.822,31
2015.06.15 02:49,17847.719,17847.984,17843.637,17843.675,33
2015.06.15 02:50,17846.949,17846.987,17843.716,17844.787,28
2015.06.15 02:51,17844.873,17844.946,17843.529,17843.650,14
2015.06.15 02:52,17843.755,17846.928,17843.755,17844.920,22
2015.06.15 02:53,17844.985,17845.958,17843.674,17845.759,24
2015.06.15 02:54,17845.953,17850.970,17845.953,17848.920,19
2015.06.15 02:55,17848.943,17849.997,17848.567,17849.683,20
2015.06.15 02:56,17849.916,17849.978,17849.721,17849.880,23
2015.06.15 02:57,17850.945,17852.000,17850.691,17851.936,40
2015.06.15 02:58,17851.700,17852.988,17850.519,17850.725,50
2015.06.15 02:59,17851.840,17851.840,17847.509,17848.636,37
2015.06.15 03:00,17848.698,17856.975,17845.927,17855.902,90
2015.06.15 03:01,17855.734,17855.917,17852.610,17852.976,64
2015.06.15 03:02,17851.788,17858.979,17849.523,17857.734,82
2015.06.15 03:03,17857.729,17857.977,17852.628,17852.812,39
2015.06.15 03:04,17852.781,17854.995,17849.720,17849.798,44
2015.06.15 03:05,17849.898,17849.986,17846.636,17846.865,76
2015.06.15 03:06,17846.896,17846.999,17844.517,17845.948,51
2015.06.15 03:07,17844.826,17853.961,17844.826,17851.691,54
2015.06.15 03:08,17852.962,17852.983,17849.602,17851.651,45
2015.06.15 03:09,17851.973,17853.712,17850.579,17851.614,49
2015.06.15 03:10,17851.765,17854.978,17851.549,17854.857,28
2015.06.15 03:11,17854.830,17858.912,17853.632,17857.786,54
2015.06.15 03:12,17856.781,17861.986,17856.707,17858.989,56
2015.06.15 03:13,17860.851,17865.821,17859.651,17863.659,58
2015.06.15 03:14,17863.911,17863.994,17857.710,17858.988,57
2015.06.15 03:15,17859.849,17862.984,17859.702,17861.919,40
2015.06.15 03:16,17861.995,17861.995,17855.594,17856.834,46
2015.06.15 03:17,17856.955,17856.955,17853.645,17855.934,45
2015.06.15 03:18,17854.775,17854.775,17849.699,17852.744,64
2015.06.15 03:19,17851.819,17856.963,17851.678,17856.963,35
2015.06.15 03:20,17857.604,17858.925,17844.409,17845.908,71
2015.06.15 03:21,17845.674,17849.895,17836.680,17836.680,60
2015.06.15 03:22,17837.906,17845.878,17837.579,17843.629,58
2015.06.15 03:23,17844.685,17850.973,17843.735,17849.978,62
2015.06.15 03:24,17849.991,17851.982,17847.684,17847.737,58
2015.06.15 03:25,17847.899,17850.970,17846.668,17849.698,66
2015.06.15 03:26,17849.873,17852.975,17849.647,17851.802,50
2015.06.15 03:27,17851.814,17852.822,17850.694,17851.911,43
2015.06.15 03:28,17850.661,17851.701,17847.719,17851.701,45
2015.06.15 03:29,17851.854,17854.974,17850.694,17854.639,39
2015.06.15 03:30,17854.825,17862.984,17854.639,17861.743,72
2015.06.15 03:31,17861.951,17861.951,17857.637,17857.838,54
2015.06.15 03:32,17856.934,17861.984,17856.934,17860.733,68
2015.06.15 03:33,17859.696,17860.984,17857.622,17860.915,63
2015.06.15 03:34,17861.685,17864.985,17861.685,17861.986,44
2015.06.15 03:35,17862.655,17862.967,17860.749,17861.967,34
2015.06.15 03:36,17861.832,17861.832,17853.892,17853.892,63
2015.06.15 03:37,17853.639,17855.755,17852.533,17852.742,54
2015.06.15 03:38,17852.822,17855.997,17852.680,17852.983,43
2015.06.15 03:39,17853.954,17853.954,17848.674,17848.822,50
2015.06.15 03:40,17848.896,17852.968,17848.826,17850.936,46
2015.06.15 03:41,17851.730,17852.859,17841.661,17843.976,61
2015.06.15 03:42,17843.941,17845.985,17843.718,17845.754,57
2015.06.15 03:43,17845.767,17846.914,17844.611,17844.766,72
2015.06.15 03:44,17844.992,17844.999,17840.656,17840.779,62
2015.06.15 03:45,17840.962,17841.969,17838.583,17838.852,38
2015.06.15 03:46,17838.729,17838.995,17838.626,17838.626,43
2015.06.15 03:47,17837.527,17843.988,17837.527,17841.748,53
2015.06.15 03:48,17840.693,17840.939,17837.612,17839.892,47
2015.06.15 03:49,17837.844,17837.999,17836.610,17836.686,39
2015.06.15 03:50,17836.833,17840.915,17833.694,17840.915,53
2015.06.15 03:51,17840.740,17840.994,17838.614,17838.729,50
2015.06.15 03:52,17839.908,17843.995,17839.785,17841.858,55
2015.06.15 03:53,17839.607,17841.981,17839.607,17840.987,34
2015.06.15 03:54,17840.840,17840.840,17836.714,17837.987,38
2015.06.15 03:55,17837.893,17839.951,17837.626,17838.876,38
2015.06.15 03:56,17838.731,17838.807,17836.685,17836.933,51
2015.06.15 03:57,17835.732,17836.970,17833.563,17836.970,62
2015.06.15 03:58,17836.854,17838.910,17834.545,17835.983,71
2015.06.15 03:59,17835.726,17835.984,17832.688,17832.835,69
2015.06.15 04:00,17832.891,17834.845,17831.663,17832.966,67
2015.06.15 04:01,17832.863,17833.915,17828.735,17829.923,41
2015.06.15 04:02,17828.693,17832.983,17827.622,17830.989,49
2015.06.15 04:03,17831.792,17835.984,17831.720,17835.885,35
2015.06.15 04:04,17834.871,17834.967,17831.715,17831.911,34
2015.06.15 04:05,17831.902,17831.986,17830.688,17830.688,45
2015.06.15 04:06,17830.760,17833.936,17830.634,17830.772,51
2015.06.15 04:07,17830.904,17833.993,17830.904,17833.552,45
2015.06.15 04:08,17834.788,17834.974,17831.629,17831.629,48
2015.06.15 04:09,17832.937,17835.988,17832.597,17835.848,63
2015.06.15 04:10,17835.790,17837.995,17833.740,17833.889,50
2015.06.15 04:11,17833.955,17836.958,17833.681,17836.958,52
2015.06.15 04:12,17836.708,17838.804,17835.549,17835.972,53
2015.06.15 04:13,17835.894,17836.931,17834.625,17834.988,28
2015.06.15 04:14,17834.904,17836.886,17833.771,17835.819,48
2015.06.15 04:15,17835.803,17836.933,17832.650,17834.864,64
2015.06.15 04:16,17834.661,17835.992,17834.661,17834.910,36
2015.06.15 04:17,17834.949,17834.986,17830.603,17830.824,43
2015.06.15 04:18,17830.748,17832.999,17829.691,17830.794,49
2015.06.15 04:19,17830.724,17830.997,17830.724,17830.954,31
2015.06.15 04:20,17830.819,17836.964,17830.606,17835.862,47
2015.06.15 04:21,17835.742,17837.997,17835.574,17837.768,43
2015.06.15 04:22,17837.766,17837.992,17836.651,17837.760,50
2015.06.15 04:23,17837.832,17839.978,17835.669,17839.823,75
2015.06.15 04:24,17839.993,17839.993,17837.704,17838.889,64
2015.06.15 04:25,17838.927,17841.958,17838.659,17841.824,58
2015.06.15 04:26,17841.849,17841.967,17839.546,17839.853,38
