Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpBoxStartHour,InpUsaGuardian,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpMinBoxPts,InpMaxBoxPts,InpPlaceHour,InpPlaceMin,InpEntryCutoffHour,InpEntryCutoffMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpBufferPoints,InpAllowLong,InpAllowShort,InpSLMode,InpMgmtTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP2_R,InpTP2Pct,InpUseEMA200Target,InpEMA200Period,InpTPfinal_R,InpUseTrailing,InpTrailAtrMult,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest
0,-3354.46,-21.64168,0.73216,-0.58148,-4.36118,5.6422,155,0,1,0,0,0,6800,0,7,59,12,0,17,30,1,1,250,1000,1,0,0,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,2,0,SPXUSD,16385,14,100,0.65,0,abtg_news.csv,3,30,30,0,,1,MAXMIN PD LONG,761800,0,1,1
1,-3106.42,-19.66089,0.75756,-0.53900,-3.91899,5.6239,158,3,1,0,0,0,6800,0,7,59,12,0,17,30,1,1,250,1000,1,0,0,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,2,0,SPXUSD,16385,14,100,0.65,0,abtg_news.csv,3,30,30,0,,1,MAXMIN PD LONG,761800,0,1,1
2,-3321.63,-21.15688,0.74387,-0.57520,-4.13981,5.6463,157,6,1,0,0,0,6800,0,7,59,12,0,17,30,1,1,250,1000,1,0,0,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,2,0,SPXUSD,16385,14,100,0.65,0,abtg_news.csv,3,30,30,0,,1,MAXMIN PD LONG,761800,0,1,1
3,-2012.49,-11.70052,0.85543,-0.47715,-2.20205,4.1442,172,9,1,0,0,0,6800,0,7,59,12,0,17,30,1,1,250,1000,1,0,0,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,2,0,SPXUSD,16385,14,100,0.65,0,abtg_news.csv,3,30,30,0,,1,MAXMIN PD LONG,761800,0,1,1
4,-2820.78,-15.67100,0.83572,-0.49056,-2.76084,5.6104,180,12,1,0,0,0,6800,0,7,59,12,0,17,30,1,1,250,1000,1,0,0,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,2,0,SPXUSD,16385,14,100,0.65,0,abtg_news.csv,3,30,30,0,,1,MAXMIN PD LONG,761800,0,1,1
5,-1096.57,-5.83282,0.94136,-0.16582,-1.00636,6.3360,188,15,1,0,0,0,6800,0,7,59,12,0,17,30,1,1,250,1000,1,0,0,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,2,0,SPXUSD,16385,14,100,0.65,0,abtg_news.csv,3,30,30,0,,1,MAXMIN PD LONG,761800,0,1,1
6,-3837.93,-28.64127,0.78476,-0.66695,-3.91988,5.6919,134,18,1,0,0,0,6800,0,7,59,12,0,17,30,1,1,250,1000,1,0,0,15,14,2.5,3000,1,50,1,3,50,1,200,4,1,2,0,SPXUSD,16385,14,100,0.65,0,abtg_news.csv,3,30,30,0,,1,MAXMIN PD LONG,761800,0,1,1
