Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpBufferPoints,InpSLMode,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpMinBoxPts,InpMaxBoxPts,InpPlaceHour,InpPlaceMin,InpEntryCutoffHour,InpEntryCutoffMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMgmtTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP2_R,InpTP2Pct,InpUseEMA200Target,InpEMA200Period,InpTPfinal_R,InpUseTrailing,InpTrailAtrMult,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
1,547.12,6.21727,1.57726,1.12216,4.06217,4.6851,88,800,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
2,131.87,3.47026,1.23504,0.33635,1.79302,3.8446,38,1400,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
3,142.97,6.49864,1.33952,0.41338,2.38613,3.3983,22,2000,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
7,-194.19,-6.93536,0.79461,-0.34570,-3.39657,5.5126,28,2000,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
6,345.71,7.05531,1.28706,0.78819,3.54512,4.1399,49,1400,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
5,1692.93,15.82178,1.74211,3.71836,7.39771,3.9542,107,800,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
0,3142.67,8.90275,1.60039,7.34423,5.25755,3.6931,353,200,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
4,3355.68,9.19364,1.31467,2.92561,4.30908,9.2751,365,200,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
9,887.17,8.44924,1.44860,2.21693,4.57977,3.8083,105,800,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
10,296.28,5.59019,1.22994,0.73856,3.50396,3.7983,53,1400,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
11,30.24,0.97548,1.03659,0.07563,0.69631,3.8712,31,2000,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
8,2641.08,7.09968,1.52089,4.08128,4.69412,5.4491,372,200,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,16385,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
