data;ampiezza_notte_pts;ora_massimo;ora_minimo;ordine;escursione_ora_2_pts;quota_su_notte_%;sessione_rompe;punti_oltre
2026.03.10;3974;2;23;MIN poi MAX;1483;37.3;MIN;3452
2026.03.11;5271;23;1;MAX poi MIN;2133;40.5;MAX;1347
2026.03.12;4960;3;23;MIN poi MAX;1553;31.3;MIN;5969
2026.03.16;6403;1;0;MIN poi MAX;4378;68.4;MAX;705
2026.03.16;4965;6;2;MIN poi MAX;3303;66.5;MIN;2136
2026.03.17;3431;2;5;MAX poi MIN;2494;72.7;MIN;14765
2026.03.18;6296;2;23;MIN poi MAX;3425;54.4;MIN;30169
2026.03.19;10167;4;0;MIN poi MAX;6013;59.1;MIN;9335
2026.03.23;20831;0;6;MAX poi MIN;12339;59.2;MIN;20359
2026.03.23;14210;0;3;MAX poi MIN;6630;46.7;nessuno;0
2026.03.24;14660;3;23;MIN poi MAX;4861;33.2;nessuno;0
2026.03.25;10530;2;6;MAX poi MIN;2207;21.0;MIN;5223
2026.03.26;9947;6;1;MIN poi MAX;4329;43.5;MAX;8042
2026.03.29;10975;6;1;MIN poi MAX;4403;40.1;MAX;5229
2026.03.30;13680;2;1;MIN poi MAX;8737;63.9;MAX;1076
2026.03.31;6242;2;23;MIN poi MAX;4275;68.5;MAX;6679
2026.04.01;21434;0;6;MAX poi MIN;13693;63.9;MIN;542
2026.04.05;7785;6;1;MIN poi MAX;2276;29.2;MAX;2784
2026.04.06;5174;23;2;MAX poi MIN;4825;93.3;MAX;2653
2026.04.07;14430;1;23;MIN poi MAX;3702;25.7;nessuno;0
2026.04.08;3403;3;1;MIN poi MAX;2877;84.5;MAX;6806
2026.04.09;3916;2;3;MAX poi MIN;1937;49.5;MIN;758
2026.04.12;8666;6;23;MIN poi MAX;3423;39.5;MAX;1367
2026.04.13;3138;3;23;MIN poi MAX;1503;47.9;MAX;4237
2026.04.14;5888;2;6;MAX poi MIN;4339;73.7;MIN;2647
2026.04.15;4737;6;23;MIN poi MAX;2501;52.8;MIN;1873
2026.04.16;3858;6;2;MIN poi MAX;2804;72.7;MAX;8528
2026.04.19;7737;2;0;MIN poi MAX;4342;56.1;MAX;1321
2026.04.20;4985;23;6;MAX poi MIN;1883;37.8;MIN;6309
2026.04.21;5629;6;23;MIN poi MAX;1867;33.2;MAX;33
2026.04.22;6148;1;6;MAX poi MIN;2749;44.7;MIN;819
2026.04.23;5343;2;5;MAX poi MIN;2077;38.9;MAX;2930
2026.04.26;5786;5;1;MIN poi MAX;1889;32.6;MIN;502
2026.04.27;7746;1;6;MAX poi MIN;2231;28.8;MIN;6915
2026.04.28;3456;1;2;MAX poi MIN;2470;71.5;MIN;6546
2026.04.29;4287;2;23;MIN poi MAX;1777;41.5;MAX;6455
2026.04.30;3304;3;6;MAX poi MIN;831;25.2;MIN;4272
2026.05.03;3830;23;3;MAX poi MIN;2132;55.7;MIN;9032
2026.05.04;3812;6;1;MIN poi MAX;1694;44.4;MAX;3490
2026.05.05;11749;6;23;MIN poi MAX;1896;16.1;MAX;5919
2026.05.06;3606;2;2;MIN poi MAX;3606;100.0;MAX;4355
2026.05.07;5095;3;23;MIN poi MAX;2497;49.0;MAX;1665
2026.05.10;5738;2;6;MAX poi MIN;3082;53.7;MAX;4307
2026.05.11;6468;1;6;MAX poi MIN;3510;54.3;MIN;7063
2026.05.12;3905;1;3;MAX poi MIN;1601;41.0;MIN;1823
2026.05.13;4391;5;5;MIN poi MAX;2345;53.4;MAX;609
2026.05.14;10817;0;6;MAX poi MIN;2444;22.6;MIN;4532
2026.05.17;7434;23;1;MAX poi MIN;4611;62.0;MAX;2946
2026.05.18;5861;1;6;MAX poi MIN;1813;30.9;MIN;6594
2026.05.19;5523;1;4;MAX poi MIN;5010;90.7;MAX;4371
