Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpBufferPoints,InpSLMode,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpMinBoxPts,InpMaxBoxPts,InpPlaceHour,InpPlaceMin,InpEntryCutoffHour,InpEntryCutoffMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMgmtTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP2_R,InpTP2Pct,InpUseEMA200Target,InpEMA200Period,InpTPfinal_R,InpUseTrailing,InpTrailAtrMult,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
2,-179.79,-4.61000,0.66906,-0.43894,-3.49231,4.0679,39,1400,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
3,-2.87,-0.13045,0.99213,-0.00803,-0.06405,3.4746,22,2000,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
1,189.85,1.93724,1.22761,0.35185,2.12875,5.2297,98,800,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
7,-68.59,-2.01735,0.93208,-0.14303,-2.88207,4.6167,34,2000,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
4,540.45,1.44893,1.04994,0.32022,1.40403,16.1696,373,200,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
5,527.95,4.71384,1.15692,0.54939,4.38722,8.8193,112,800,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
6,295.06,5.26893,1.19060,0.56723,5.60507,4.8698,56,1400,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
0,1679.21,4.10565,1.42495,2.95927,4.50045,5.0266,409,200,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
10,126.59,2.07525,1.13626,0.43539,2.59866,2.8537,61,1400,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
11,-29.03,-0.80639,0.96265,-0.07328,-0.86936,3.8651,36,2000,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
9,650.97,4.93159,1.41522,1.34994,5.42463,4.6015,132,800,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
8,1204.54,2.72520,1.28072,1.27205,3.23200,8.3068,442,200,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,15,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
