Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpBufferPoints,InpSLMode,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpMinBoxPts,InpMaxBoxPts,InpPlaceHour,InpPlaceMin,InpEntryCutoffHour,InpEntryCutoffMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMgmtTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP2_R,InpTP2Pct,InpUseEMA200Target,InpEMA200Period,InpTPfinal_R,InpUseTrailing,InpTrailAtrMult,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
3,70.80,3.21818,1.19413,0.20471,1.29792,3.3633,22,2000,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
2,50.01,1.28231,1.08992,0.14460,0.73665,3.3931,39,1400,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
1,427.87,4.65076,1.46878,0.96179,3.52919,4.3064,92,800,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
5,463.11,4.36896,1.15488,0.49298,2.56809,8.7171,106,800,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
7,-612.93,-21.13552,0.47806,-0.87931,-5.00000,6.9124,29,2000,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
6,-250.61,-4.91392,0.83829,-0.32028,-3.96584,7.5482,51,1400,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
4,4450.18,11.61927,1.35019,2.93310,6.12994,11.6452,383,200,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
0,2460.59,6.26104,1.51462,3.71511,4.99796,5.7140,393,200,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
10,164.41,2.88439,1.12511,0.41949,2.08830,3.7202,57,1400,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
11,-0.16,-0.00457,0.99982,-0.00042,-0.00355,3.7038,35,2000,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
9,575.51,5.04833,1.31299,1.35296,3.46463,4.0883,114,800,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
8,2334.52,5.54518,1.50280,3.76827,4.74632,5.2892,421,200,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,30,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
