Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpExitMode,InpAllowLong,InpAllowShort,InpTF,InpTP_R,InpSLBufferATR,InpAtrPeriod,InpMinRangeATR,InpMaxBarsHold,InpWarmupBars,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
3,-506.95,-5.22629,0.86151,-0.44660,-1.33027,11.2243,97,-1.4621,-402,-401.58,0,1,0,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
6,-379.75,-3.51620,0.92154,-0.31468,-0.72340,11.8745,108,-1.9373,-378,-378.20,0,0,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
4,-44.58,-0.50090,0.99081,-0.03394,-0.06111,12.2456,89,-1.7592,-916,-916.18,1,1,0,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
7,-1597.24,-15.50718,0.72222,-0.65219,-2.58975,24.1283,103,-1.5220,-853,-853.38,1,0,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
5,-895.27,-9.62656,0.79019,-0.43705,-0.87777,19.9882,93,-4.7989,-467,-678.64,2,1,0,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
9,-373.75,-2.45888,0.93971,-0.23481,-0.52816,15.6348,152,-1.9945,-372,-372.33,0,1,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
8,-2219.06,-22.41475,0.52439,-0.64328,-2.16387,33.9433,99,-3.7506,-847,-846.74,2,0,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
10,-1662.94,-11.79390,0.78005,-0.69033,-1.72552,23.9637,141,-1.9692,-1020,-1019.50,1,1,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
11,-2807.49,-14.62234,0.63365,-0.62456,-1.48172,44.5320,192,-6.8564,-733,-746.73,2,1,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
