Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpExitMode,InpAllowLong,InpAllowShort,InpTF,InpTP_R,InpSLBufferATR,InpAtrPeriod,InpMinRangeATR,InpMaxBarsHold,InpWarmupBars,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
3,-1352.57,-8.24738,0.78325,-0.76305,-1.84163,17.5001,164,-3.0748,-446,-445.74,0,1,0,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
6,-1136.17,-7.47480,0.84053,-0.51730,-1.34419,20.4207,152,-2.8880,-684,-684.44,0,0,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
9,-2022.95,-8.42896,0.78080,-0.79156,-1.68498,25.1965,240,-3.0659,-590,-590.26,0,1,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
7,-713.63,-5.24728,0.91266,-0.63756,-0.71074,10.7706,136,-1.8718,-875,-874.81,1,0,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
4,448.74,3.22835,1.05731,0.35978,0.36249,12.0540,139,-1.8926,-669,-668.87,1,1,0,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
8,-3000.40,-22.39104,0.56648,-0.88743,-1.98316,32.8965,134,-7.9036,-1036,-1035.83,2,0,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
5,-450.58,-3.33763,0.92562,-0.19689,-0.26855,22.5213,135,-4.9750,-865,-865.46,2,1,0,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
10,117.14,0.57990,1.01020,0.05454,0.06800,20.5092,202,-2.0295,-793,-792.67,1,1,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
11,-3334.25,-12.39498,0.70926,-0.92373,-1.17828,35.8800,269,-7.9739,-879,-879.20,2,1,1,16388,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
