Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLbufferATR,InpTP2_ATRmult,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpSLbufferPips,InpSLbufferMode,InpSLfromDoji,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
1,600.45,14.29643,1.09179,0.12078,1.28364,4.8349,42,-1.0787,-4112,-4112.40,0.25,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
3,1087.81,24.72295,1.24735,0.26537,2.53493,3.9839,44,-1.0415,-3098,-3098.23,0.75,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
4,332.77,7.56295,1.07478,0.08441,0.76959,3.8450,44,-1.0151,-3069,-3068.55,1.00,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
2,1946.87,44.24705,1.43482,0.45341,4.26854,4.1533,44,-1.0494,-3121,-3120.57,0.50,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
5,-145.80,-3.31364,0.96678,-0.03804,-0.37040,3.7490,44,-1.0147,-3059,-3059.20,1.25,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
0,2247.88,53.52095,1.33294,0.42649,3.90247,5.0775,42,-1.1103,-4187,-4187.12,0.00,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
7,2247.88,53.52095,1.33294,0.42649,3.90247,5.0775,42,-1.1103,-4187,-4187.12,0.00,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
6,-597.54,-13.58045,0.86432,-0.15756,-1.49895,3.7174,44,-1.0042,-3098,-3097.97,1.50,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
13,-597.54,-13.58045,0.86432,-0.15756,-1.49895,3.7174,44,-1.0042,-3098,-3097.97,1.50,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
8,600.45,14.29643,1.09179,0.12078,1.28364,4.8349,42,-1.0787,-4112,-4112.40,0.25,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
9,1946.87,44.24705,1.43482,0.45341,4.26854,4.1533,44,-1.0494,-3121,-3120.57,0.50,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
12,-145.80,-3.31364,0.96678,-0.03804,-0.37040,3.7490,44,-1.0147,-3059,-3059.20,1.25,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
10,1087.81,24.72295,1.24735,0.26537,2.53493,3.9839,44,-1.0415,-3098,-3098.23,0.75,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
11,332.77,7.56295,1.07478,0.08441,0.76959,3.8450,44,-1.0151,-3069,-3068.55,1.00,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
