Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLbufferATR,InpTP2_ATRmult,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpSLbufferPips,InpSLbufferMode,InpSLfromDoji,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
1,1943.84,47.41073,1.38652,0.64518,4.29742,2.9428,41,-0.9971,-2012,-2011.60,0.25,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
0,2380.53,59.51325,1.38865,0.77949,4.95675,2.9584,40,-0.9987,-2048,-2047.93,0.00,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
2,778.79,18.99488,1.15603,0.26095,1.74627,2.9317,41,-0.9985,-1992,-1992.01,0.50,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
3,-55.63,-1.35683,0.98883,-0.01871,-0.14185,2.9331,41,-0.9975,-1986,-1985.71,0.75,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
4,-681.84,-16.63024,0.86260,-0.22928,-1.83323,2.9413,41,-0.9991,-1986,-1986.40,1.00,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
6,-460.21,-10.95738,0.88342,-0.18520,-1.34040,2.4680,42,-0.9959,-1964,-1964.17,1.50,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
7,2916.00,72.90000,1.47478,0.95233,5.58462,2.9515,40,-0.9970,-2048,-2047.93,0.00,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
5,-1138.81,-27.77585,0.76946,-0.38574,-3.25471,2.9269,41,-0.9968,-1974,-1974.31,1.25,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
10,219.21,5.34659,1.04391,0.07372,0.52980,2.9248,41,-0.9977,-1986,-1985.71,0.75,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
9,1099.66,26.82098,1.21897,0.36533,2.32967,2.9470,41,-0.9993,-2010,-2010.22,0.50,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
8,2324.17,56.68707,1.45963,0.76512,4.80626,2.9553,41,-0.9976,-2029,-2028.79,0.25,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
11,-411.09,-10.02659,0.91716,-0.13843,-1.05126,2.9298,41,-0.9965,-1986,-1986.40,1.00,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
12,-942.89,-22.99732,0.81017,-0.31629,-2.58061,2.9488,41,-1.0002,-2002,-2001.62,1.25,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
13,-287.89,-6.85452,0.92770,-0.11416,-0.80248,2.4997,42,-0.9988,-1999,-1998.55,1.50,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
