Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLbufferATR,InpTP2_ATRmult,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpSLbufferPips,InpSLbufferMode,InpSLfromDoji,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
2,211.51,7.05033,1.04968,0.08313,0.92136,2.5348,30,-1.1007,-2026,-2025.68,0.50,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
0,-819.20,-29.25714,0.87326,-0.22382,-4.00984,3.6298,28,-1.0764,-2056,-2068.57,0.00,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
1,1037.55,34.58500,1.23847,0.43010,4.12307,2.4015,30,-1.0578,-2060,-2060.23,0.25,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
4,433.06,13.96968,1.13692,0.19480,1.46884,2.2169,31,-1.0111,-2003,-2003.09,1.00,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
6,798.23,24.94469,1.37056,0.38903,3.05867,2.0472,32,-1.0114,-1012,-1011.61,1.50,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
3,-375.55,-12.51833,0.91057,-0.13759,-1.63970,2.7208,30,-1.0242,-2018,-2017.66,0.75,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
5,18.67,0.60226,1.00589,0.00846,0.07046,2.2017,31,-1.0115,-2011,-2011.24,1.25,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
7,-532.48,-19.01714,0.91751,-0.14587,-2.55930,3.6279,28,-1.0760,-2056,-2063.20,0.00,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
9,409.16,13.63867,1.09616,0.15287,1.76457,2.6665,30,-1.0999,-2026,-2025.68,0.50,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
8,1272.64,42.42133,1.29267,0.51964,4.99728,2.4381,30,-1.0578,-2060,-2060.23,0.25,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
10,-209.04,-6.96800,0.95015,-0.07364,-0.90510,2.8296,30,-1.0242,-2018,-2017.66,0.75,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
12,149.07,4.80871,1.04705,0.06754,0.55861,2.2017,31,-1.0115,-2011,-2011.24,1.25,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
13,916.64,28.64500,1.42624,0.44674,3.49770,2.0472,32,-1.0114,-1012,-1011.61,1.50,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
11,578.29,18.65452,1.18284,0.26013,1.94823,2.2169,31,-1.0111,-2003,-2003.09,1.00,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
