Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLbufferATR,InpTP2_ATRmult,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpSLbufferPips,InpSLbufferMode,InpSLfromDoji,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
2,2089.26,69.64200,2.06359,0.97215,7.56529,2.1155,30,-0.9916,-994,-993.60,0.50,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
0,1004.10,35.86071,1.25226,0.29917,3.05091,3.2742,28,-1.0017,-2982,-2982.03,0.00,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
1,1263.21,43.55897,1.42692,0.53506,4.10480,2.3119,29,-0.9903,-1966,-1966.23,0.25,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
4,1001.12,33.37067,1.51063,0.54630,4.68910,1.8152,30,-0.9766,-983,-982.53,1.00,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
6,1519.45,49.01452,2.56840,0.91386,8.13527,1.6363,31,-0.9735,-969,-968.79,1.50,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
5,677.90,22.59667,1.34324,0.38503,3.45831,1.7481,30,-0.9850,-989,-988.68,1.25,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
3,1480.91,49.36367,1.76697,0.76189,6.16583,1.9200,30,-0.9792,-981,-980.86,0.75,2,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
7,1004.10,35.86071,1.25226,0.29917,3.05091,3.2742,28,-1.0017,-2982,-2982.03,0.00,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
10,1480.89,49.36300,1.76696,0.76188,6.16575,1.9200,30,-0.9792,-981,-980.86,0.75,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
8,1263.18,43.55793,1.42691,0.53505,4.10471,2.3119,29,-0.9903,-1966,-1966.23,0.25,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
9,2089.24,69.64133,2.06358,0.97214,7.56522,2.1155,30,-0.9916,-994,-993.60,0.50,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
11,1001.10,33.37000,1.51062,0.54629,4.68901,1.8152,30,-0.9766,-983,-982.53,1.00,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
12,677.89,22.59633,1.34323,0.38503,3.45826,1.7481,30,-0.9850,-989,-988.68,1.25,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
13,1519.44,49.01419,2.56839,0.91386,8.13522,1.6363,31,-0.9735,-969,-968.79,1.50,3,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,1,0,0.5,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE_OTT,771331,0,1,0
