file;expert;ora_piena;data;ora;simbolo;lato;uscita;livello_richiesto;prezzo_eseguito;volume;profitto;scarto_sfav
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.18 01:16:07;2024.10.18;1;D30EUR;long;sl;19549.6;19540.8;39.0;-1279.2;8.799999999999272
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.21 09:46:25;2024.10.21;9;D30EUR;long;sl;19596.0;19596.0;19.1;-918.71;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.22 08:02:35;2024.10.22;8;D30EUR;long;sl;19512.6;19512.2;30.8;-917.84;0.3999999999978172
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.22 09:55:23;2024.10.22;9;D30EUR;long;sl;19507.7;19506.8;17.3;-911.71;0.9000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.23 07:56:05;2024.10.23;7;D30EUR;long;sl;19406.2;19405.2;18.2;-904.54;1.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.23 11:32:42;2024.10.23;11;D30EUR;long;sl;19372.7;19371.6;13.7;-889.13;1.1000000000021828
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.24 08:16:45;2024.10.24;8;D30EUR;long;tp;19471.5;19471.7;15.2;1741.92;-0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.24 15:46:50;2024.10.24;15;D30EUR;long;sl;19460.3;19459.9;13.2;-892.32;0.3999999999978172
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.25 06:55:25;2024.10.25;6;D30EUR;long;tp;19406.1;19406.6;70.2;1790.1;-0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.25 10:07:44;2024.10.25;10;D30EUR;long;tp;19471.8;19471.8;27.5;1787.5;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.25 18:35:00;2024.10.25;18;D30EUR;long;sl;19412.3;19412.1;20.0;-916.0;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.28 10:53:04;2024.10.28;10;D30EUR;long;sl;19474.6;19473.9;10.7;-909.5;0.6999999999970896
