Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpNearAtr,InpUsaGuardian,InpTF,InpStMult,InpStAtrPeriod,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
0,-12.28,-0.10066,0.99155,-0.01969,-0.09376,6.2075,122,0.50,1,16385,3.5,9,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SRDOW123D,784130,0,1
2,622.79,4.09730,1.38944,1.04917,3.54931,5.9091,152,1.00,1,16385,3.5,9,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SRDOW123D,784130,0,1
1,423.33,3.18293,1.28433,0.67887,2.91884,6.2075,133,0.75,1,16385,3.5,9,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SRDOW123D,784130,0,1
3,643.57,3.74169,1.32197,0.99647,2.92707,6.4033,172,1.25,1,16385,3.5,9,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SRDOW123D,784130,0,1
4,643.57,3.74169,1.32197,0.99647,2.92707,6.4033,172,1.50,1,16385,3.5,9,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SRDOW123D,784130,0,1
