"Simbolo","Che","Anno","Esito","Byte","Url"
"DEUIDXEUR","DAX 40","2025","OK","17875","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2025/05/16/15h_ticks.bi5"
"JPNIDXJPY","Nikkei 225","2008","ASSENTE","0",""
"JPNIDXJPY","Nikkei 225","2010","ASSENTE","0",""
"JPNIDXJPY","Nikkei 225","2012","VUOTO","0","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2012/05/19/15h_ticks.bi5"
"JPNIDXJPY","Nikkei 225","2015","OK","2285","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2015/05/15/15h_ticks.bi5"
"JPNIDXJPY","Nikkei 225","2018","OK","4000","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2018/05/15/15h_ticks.bi5"
"JPNIDXJPY","Nikkei 225","2020","OK","16904","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2020/05/15/15h_ticks.bi5"
"JPNIDXJPY","Nikkei 225","2022","OK","9006","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2022/05/15/15h_ticks.bi5"
"JPNIDXJPY","Nikkei 225","2024","OK","4717","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2024/05/17/15h_ticks.bi5"
"JPNIDXJPY","Nikkei 225","2025","OK","8722","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2025/05/16/15h_ticks.bi5"
"EUSIDXEUR","Euro Stoxx 50","2008","ASSENTE","0",""
"EUSIDXEUR","Euro Stoxx 50","2010","ASSENTE","0",""
"EUSIDXEUR","Euro Stoxx 50","2012","OK","694","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2012/05/15/15h_ticks.bi5"
"EUSIDXEUR","Euro Stoxx 50","2015","OK","6024","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2015/05/15/15h_ticks.bi5"
"EUSIDXEUR","Euro Stoxx 50","2018","OK","2074","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2018/05/15/15h_ticks.bi5"
"EUSIDXEUR","Euro Stoxx 50","2020","OK","22227","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2020/05/15/15h_ticks.bi5"
"EUSIDXEUR","Euro Stoxx 50","2022","OK","6996","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2022/05/15/15h_ticks.bi5"
"EUSIDXEUR","Euro Stoxx 50","2024","OK","1401","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2024/05/17/15h_ticks.bi5"
"EUSIDXEUR","Euro Stoxx 50","2025","OK","1814","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2025/05/16/15h_ticks.bi5"
"GBRIDXGBP","FTSE 100","2008","ASSENTE","0",""
"GBRIDXGBP","FTSE 100","2010","ASSENTE","0",""
"GBRIDXGBP","FTSE 100","2012","OK","15881","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2012/05/15/15h_ticks.bi5"
"GBRIDXGBP","FTSE 100","2015","OK","10453","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2015/05/15/15h_ticks.bi5"
"GBRIDXGBP","FTSE 100","2018","OK","18688","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2018/05/15/15h_ticks.bi5"
"GBRIDXGBP","FTSE 100","2020","OK","43463","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2020/05/15/15h_ticks.bi5"
"GBRIDXGBP","FTSE 100","2022","OK","37719","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2022/05/15/15h_ticks.bi5"
"GBRIDXGBP","FTSE 100","2024","OK","8427","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2024/05/17/15h_ticks.bi5"
"GBRIDXGBP","FTSE 100","2025","OK","17583","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2025/05/16/15h_ticks.bi5"
"FRAIDXEUR","CAC 40","2008","ASSENTE","0",""
"FRAIDXEUR","CAC 40","2010","ASSENTE","0",""
"FRAIDXEUR","CAC 40","2012","OK","666","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2012/05/15/15h_ticks.bi5"
"FRAIDXEUR","CAC 40","2015","OK","17963","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2015/05/15/15h_ticks.bi5"
"FRAIDXEUR","CAC 40","2018","OK","14858","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2018/05/15/15h_ticks.bi5"
"FRAIDXEUR","CAC 40","2020","OK","38145","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2020/05/15/15h_ticks.bi5"
"FRAIDXEUR","CAC 40","2022","OK","14320","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2022/05/15/15h_ticks.bi5"
"FRAIDXEUR","CAC 40","2024","OK","8104","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2024/05/17/15h_ticks.bi5"
"FRAIDXEUR","CAC 40","2025","OK","10011","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2025/05/16/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2008","OK","37871","https://datafeed.dukascopy.com/datafeed/EURUSD/2008/05/16/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2010","OK","10012","https://datafeed.dukascopy.com/datafeed/EURUSD/2010/05/15/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2012","OK","28719","https://datafeed.dukascopy.com/datafeed/EURUSD/2012/05/15/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2015","OK","26374","https://datafeed.dukascopy.com/datafeed/EURUSD/2015/05/15/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2018","OK","35653","https://datafeed.dukascopy.com/datafeed/EURUSD/2018/05/15/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2020","OK","46324","https://datafeed.dukascopy.com/datafeed/EURUSD/2020/05/15/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2022","OK","28766","https://datafeed.dukascopy.com/datafeed/EURUSD/2022/05/15/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2024","OK","16916","https://datafeed.dukascopy.com/datafeed/EURUSD/2024/05/17/15h_ticks.bi5"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2025","OK","24043","https://datafeed.dukascopy.com/datafeed/EURUSD/2025/05/16/15h_ticks.bi5"
