Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpUseSecondSignal,InpUsaGuardian,InpSignalStartHour,InpSignalStartMin,InpSignalMinutes,InpUseOvernightInR1,InpMaxGiorniIndietro,InpMinAbsR1Pct,InpEntryHour,InpEntryMin,InpEntryWindowMin,InpExitHour,InpExitMin,InpExitSafetyMin,InpAllowLong,InpAllowShort,InpUseStopLoss,InpAtrTF,InpAtrPeriod,InpSLatr,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest,InpSlippagePts
0,4264.01,16.33720,1.24334,1.35119,8.87598,3.0300,261,0,0,14,30,30,1,5,0,20,30,5,21,0,1,1,1,1,30,14,2,0.65,0,abtg_news.csv,3,30,30,0,USD,A1 MIM,784101,0,1,1,0
1,3562.10,26.78271,1.48607,2.53157,16.32569,1.3724,133,1,0,14,30,30,1,5,0,20,30,5,21,0,1,1,1,1,30,14,2,0.65,0,abtg_news.csv,3,30,30,0,USD,A1 MIM,784101,0,1,1,0
