Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpUseSecondSignal,InpUsaGuardian,InpSignalStartHour,InpSignalStartMin,InpSignalMinutes,InpUseOvernightInR1,InpMaxGiorniIndietro,InpMinAbsR1Pct,InpEntryHour,InpEntryMin,InpEntryWindowMin,InpExitHour,InpExitMin,InpExitSafetyMin,InpAllowLong,InpAllowShort,InpUseStopLoss,InpAtrTF,InpAtrPeriod,InpSLatr,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest,InpSlippagePts
1,2283.16,17.56277,1.25027,1.23457,9.08860,1.7874,130,1,0,14,30,30,1,5,0,20,30,5,21,0,1,1,1,1,30,14,2,0.65,0,abtg_news.csv,3,30,30,0,USD,A1 MIM,784102,0,1,1,0
0,660.66,2.53126,1.03501,0.14231,1.34715,4.4138,261,0,0,14,30,30,1,5,0,20,30,5,21,0,1,1,1,1,30,14,2,0.65,0,abtg_news.csv,3,30,30,0,USD,A1 MIM,784102,0,1,1,0
