Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpUseSecondSignal,InpUsaGuardian,InpSignalStartHour,InpSignalStartMin,InpSignalMinutes,InpUseOvernightInR1,InpMaxGiorniIndietro,InpMinAbsR1Pct,InpEntryHour,InpEntryMin,InpEntryWindowMin,InpExitHour,InpExitMin,InpExitSafetyMin,InpAllowLong,InpAllowShort,InpUseStopLoss,InpAtrTF,InpAtrPeriod,InpSLatr,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest,InpSlippagePts
1,-5064.65,-71.33310,0.46334,-0.89237,-5.00000,5.6549,71,1,0,14,30,30,1,5,0,20,30,5,21,0,1,1,1,1,30,14,2,0.65,0,abtg_news.csv,3,30,30,0,USD,A1 MIM,784101,0,1,1,0
0,-6446.05,-44.15103,0.60887,-0.81971,-5.00000,7.7625,146,0,0,14,30,30,1,5,0,20,30,5,21,0,1,1,1,1,30,14,2,0.65,0,abtg_news.csv,3,30,30,0,USD,A1 MIM,784101,0,1,1,0
